in,out
0,1737
0,3391
0,3743
0,7628
0,7629
0,7630
0,7631
1,471
1,3099
1,4068
1,4418
1,4755
1,4773
1,5330
1,8086
2,1798
2,2820
2,3909
2,5921
2,6384
3,654
3,2727
3,9173
4,8761
4,9003
5,3109
5,3868
5,4052
5,4086
5,6818
5,9025
5,9026
6,651
6,2490
6,2721
6,3165
6,3575
6,3579
6,3580
6,3581
6,3582
6,3583
6,3584
6,3585
6,3586
6,3587
6,3588
6,3919
6,3935
6,4012
6,4017
6,4056
6,4077
6,4126
6,4159
6,4747
6,4771
6,4772
6,5231
6,5301
6,5302
6,5303
6,5304
6,5305
6,5306
6,5307
7,2729
7,2730
7,2731
7,2732
8,96
8,97
8,111
8,374
8,498
8,683
8,735
8,1181
8,1191
8,1235
8,1495
8,2023
8,4200
8,7859
8,8630
8,8631
8,8632
9,2828
9,2830
10,1760
10,2867
10,3233
10,3410
10,3596
10,4552
10,6114
10,6886
10,7203
11,187
11,664
11,1418
11,1569
11,1891
11,2867
11,3084
11,3410
11,3585
11,3940
11,4501
11,6316
11,6859
11,7050
11,8480
11,8481
11,8482
12,4561
13,408
13,932
13,1759
13,4295
13,6843
13,7395
13,7515
13,8656
13,8657
13,8658
13,8659
13,8660
14,5122
15,1669
15,1998
15,3139
15,3207
15,3414
15,3461
15,3480
15,3544
15,3549
15,3700
15,3903
15,4455
15,4777
15,6674
15,6677
15,6678
15,6679
15,6680
16,1471
16,3543
16,4290
17,894
17,1793
17,4445
18,1127
18,1427
18,1852
18,2910
18,6046
18,9198
18,9199
19,2594
19,3149
19,6624
19,8133
19,8134
20,68
20,218
20,227
20,1010
20,1265
20,1563
20,1634
20,1719
20,2068
20,2828
20,5277
20,8317
20,8983
20,9184
20,9287
20,9288
20,9289
20,9290
20,9291
20,9292
20,9293
20,9294
21,284
21,1107
21,1132
21,1224
21,1303
21,1428
21,1833
21,1866
21,2015
21,2066
21,2069
21,2074
21,2076
21,2077
21,2078
21,2079
21,2080
21,2081
21,2082
21,2083
21,2084
21,2085
21,2086
21,2087
21,2088
21,2089
21,2090
21,2091
21,2092
21,2093
21,2094
21,2095
21,2096
21,2097
21,2098
21,2099
21,2100
21,2101
21,2102
21,2103
21,2104
21,2105
21,2106
21,2107
21,2108
21,2109
21,2110
21,2111
21,2112
21,2113
21,2114
21,2115
21,2116
21,2117
21,2118
21,2119
21,2120
21,2121
21,2122
21,2123
21,2124
21,2125
21,2126
21,2127
21,2128
21,2129
21,2130
21,2131
21,2132
21,2133
21,2134
21,2135
21,2136
21,2137
21,2138
21,2139
21,2140
21,2141
21,2142
21,2143
21,2144
21,2145
21,2146
21,2147
21,2148
21,2149
21,2150
21,2151
21,2152
21,2153
21,2154
21,2155
21,2156
21,2157
21,2158
21,2159
21,2160
21,2161
21,2162
21,2163
21,2164
21,2165
21,2166
21,2167
21,2168
21,2169
21,2170
21,2171
21,2172
21,2173
21,2174
21,2175
21,2176
21,2177
21,2178
21,2179
21,2180
21,2181
21,2182
21,2183
21,2184
21,2185
21,2186
21,2187
21,2188
21,2189
21,2190
21,2191
21,2192
21,2193
21,2194
21,2195
21,2196
21,2197
21,2198
21,2199
21,2200
21,2201
21,2202
21,2203
21,2204
21,2205
21,2206
21,2207
21,2208
21,2209
21,2210
21,2211
21,2212
21,2213
21,2214
21,2215
21,2216
21,2217
21,2218
21,2219
21,2220
21,2221
21,2222
21,2223
21,2224
21,2225
21,2226
21,2227
21,2228
21,2229
21,2230
21,2231
21,2232
21,2233
21,2234
21,2235
21,2236
21,2237
21,2238
21,2239
21,2240
21,2241
21,2242
21,2243
21,2244
21,2245
21,2246
21,2247
21,2248
21,2249
21,2250
21,2251
21,2252
21,2253
21,2254
21,2255
21,2256
21,2257
21,2258
21,2259
21,2260
21,2261
21,2262
21,2263
21,2264
21,2265
21,2266
21,2267
21,2268
21,2269
21,2270
21,2271
21,2272
21,2273
21,2274
21,2275
21,2276
21,2277
21,2278
21,2279
21,2280
21,2281
21,2282
21,2283
21,2284
21,2285
21,2286
21,2287
21,2288
21,2289
21,2290
21,2291
21,2292
21,2293
21,2294
21,2295
21,2296
21,2297
21,2298
21,2299
21,2300
21,2301
21,2302
21,2303
21,2304
21,2305
21,2306
21,2307
21,2308
21,2309
21,2310
21,2311
21,2312
21,2313
21,2314
21,2315
21,2316
21,2317
21,2318
21,2319
21,2320
21,2321
21,2322
21,2323
21,2324
21,2325
21,2326
21,2327
21,2328
21,2329
21,2330
21,2331
21,2332
21,2333
21,2334
21,2335
21,2336
21,2337
21,2338
21,2339
21,2340
21,2341
21,2342
21,2343
21,2344
21,2345
21,2346
21,2347
21,2348
21,2349
21,2350
21,2351
21,2352
21,2353
21,2354
21,2355
21,2356
21,2357
21,2358
21,2359
21,2360
21,2361
21,2362
21,2363
21,2364
21,2365
21,2366
21,2367
21,2368
21,2369
21,2370
21,2371
21,2372
21,2373
21,2374
21,2375
21,2376
21,2377
21,2378
21,2379
21,2380
21,2381
21,2382
21,2383
21,2384
21,2385
21,2386
21,2387
21,2388
21,2389
21,2390
21,2391
21,2392
21,2393
21,2394
21,2395
21,2396
21,2397
21,2398
21,2399
21,2400
21,2401
21,2402
21,2403
21,2404
21,2405
21,2406
21,2407
21,2408
21,2409
21,2410
21,2411
21,2412
21,2413
21,2414
21,2415
21,2416
21,2417
21,2418
21,2419
21,2420
21,2421
21,2422
21,2423
21,2424
21,2425
21,2426
21,2427
21,2428
21,2429
21,2430
21,2431
21,2432
21,2433
21,2434
21,2435
21,2436
21,2437
21,2438
21,2439
21,2440
21,2441
21,2442
21,2443
21,2444
21,2445
21,2446
21,2447
21,2448
21,2449
21,2450
21,2451
21,2452
21,2453
21,2454
21,2455
21,2456
21,2457
21,2458
21,2459
21,2460
21,2461
21,2462
21,2463
21,2464
21,2465
21,2466
21,2467
21,2468
21,2469
21,2470
21,2471
21,2472
21,2473
21,2474
21,2475
21,2476
21,2477
21,2478
21,2479
21,2480
21,2481
22,249
22,271
22,1309
22,1788
22,1984
22,3676
22,3677
22,3678
22,3679
22,3680
23,802
23,1672
23,3085
23,3564
23,3671
23,3904
23,4684
23,6483
23,6834
23,6835
24,820
24,1038
24,3234
24,3402
24,3403
24,3404
24,3405
24,3406
25,3548
25,4538
25,5065
26,3090
26,3414
26,3548
26,3552
26,3781
26,3798
26,4140
26,4250
26,4267
26,6727
26,6989
27,201
27,3609
27,4385
27,4661
27,5082
27,6018
27,6019
27,6020
27,6021
27,6022
27,6023
28,2526
28,2858
28,3816
28,4011
28,4023
28,4060
28,6613
28,8513
29,1433
29,3734
29,3736
29,4237
29,7084
30,900
30,1293
30,2064
30,6451
30,9210
31,639
31,1276
31,3506
31,9305
32,4087
32,5744
32,5745
33,3085
33,3136
33,3163
33,3569
33,4438
33,4744
33,5166
33,6739
33,7294
34,1139
34,1577
34,1683
34,9068
34,9069
34,9070
34,9071
34,9072
34,9073
35,65
35,205
35,245
35,314
35,356
35,456
35,490
35,559
35,596
35,684
35,761
35,836
35,1156
35,1415
35,1442
35,1459
35,1476
35,1666
35,1689
35,1708
35,1917
35,2045
35,2762
35,2890
35,3094
35,3103
35,3106
35,3109
35,3111
35,3134
35,3137
35,3303
35,3528
35,3586
35,3739
35,3754
35,3758
35,3814
35,3815
35,3844
35,3848
35,3880
35,3883
35,3891
35,3927
35,4035
35,4056
35,4115
35,4177
35,4178
35,4182
35,4190
35,4204
35,4264
35,4275
35,4341
35,4354
35,4355
35,4359
35,4381
35,4387
35,4389
35,4392
35,4454
35,4550
35,4670
35,4683
35,4708
35,4716
35,4809
35,4816
35,4927
35,4945
35,4992
35,5080
35,5091
35,5120
35,5123
35,5173
35,5178
35,5275
35,5308
35,5466
35,5475
35,5809
35,6190
35,6270
35,6470
35,6492
35,6555
35,6556
35,7197
35,7298
35,7492
35,7644
35,8509
35,8563
35,8579
35,8580
35,8581
35,8582
35,8583
36,5644
36,8979
36,9109
37,333
37,695
38,505
38,2035
39,650
39,1122
39,1568
39,4716
39,8577
39,9285
39,9286
40,292
40,2064
40,3107
40,3112
40,3303
40,3785
40,3839
40,3844
40,3849
40,3859
40,3935
40,3986
40,4155
40,4157
40,4173
40,4514
40,4847
40,5080
40,5430
40,5937
40,5938
41,153
41,926
41,1283
41,1376
41,1524
41,1857
41,2035
41,3108
41,3465
41,3605
41,3754
41,4077
41,4177
41,4306
41,4953
41,6252
41,6287
41,7649
41,8604
41,8956
42,3935
42,5748
43,222
43,653
43,871
43,1381
43,1646
43,2721
43,3116
43,3922
43,4408
43,5029
43,5821
43,6162
43,7492
43,7519
43,8345
43,8850
43,8851
43,8861
44,3134
44,3360
44,5479
44,6448
45,765
45,1347
45,1448
45,1869
45,1917
45,2056
45,2482
45,2531
45,2926
45,3119
45,3128
45,3245
45,3308
45,3309
45,3419
45,3462
45,3463
45,3480
45,3483
45,3767
45,3798
45,4110
45,4291
45,4294
45,4413
45,4421
45,4443
45,4460
45,4766
45,5383
45,5910
45,5911
45,5912
45,5913
45,5914
45,5915
45,5916
45,5917
46,2921
46,3608
46,4569
46,8334
46,8335
47,2045
48,3999
48,7820
48,8311
48,8571
48,8572
49,3847
49,3934
49,4258
49,4917
49,8755
49,8756
50,1641
50,3328
51,2056
51,2488
51,3098
51,3109
51,4563
51,4564
51,4614
51,4755
51,4997
51,5648
51,6263
51,7426
52,329
52,2873
52,3051
52,3098
52,4177
52,4554
52,5169
52,5170
52,5171
52,5172
52,5173
52,5174
52,5175
52,5176
52,5177
52,5178
52,5179
52,5180
52,5181
52,5182
53,399
53,803
53,1306
53,1838
53,3139
53,4200
53,6369
53,8863
53,8890
54,4199
54,4934
55,315
56,1511
56,3361
56,3524
56,3736
56,4210
56,4446
56,4717
56,4718
57,3088
57,3792
57,3892
57,4887
58,257
58,418
58,637
58,2319
58,3579
58,3865
58,5340
58,6637
58,6638
58,6639
58,6640
58,6641
58,6642
58,6643
58,6644
58,6645
59,148
59,156
59,314
59,338
59,360
59,520
59,727
59,845
59,846
59,908
59,1013
59,1057
59,1175
59,1288
59,1307
59,1363
59,1459
59,1533
59,1543
59,1658
59,1699
59,1790
59,1835
59,1891
59,1930
59,1983
59,2059
59,2865
59,2873
59,2921
59,3018
59,3026
59,3066
59,3111
59,3117
59,3138
59,3145
59,3236
59,3323
59,3348
59,3414
59,3462
59,3532
59,3543
59,3558
59,3604
59,3718
59,3750
59,3761
59,3773
59,3844
59,3863
59,3920
59,3922
59,3940
59,3958
59,4047
59,4051
59,4077
59,4081
59,4105
59,4150
59,4159
59,4160
59,4173
59,4178
59,4192
59,4213
59,4242
59,4258
59,4265
59,4298
59,4343
59,4351
59,4353
59,4355
59,4381
59,4384
59,4391
59,4425
59,4452
59,4473
59,4481
59,4483
59,4525
59,4537
59,4550
59,4563
59,4565
59,4584
59,4662
59,4704
59,4710
59,4744
59,4788
59,4791
59,4809
59,4905
59,5007
59,5046
59,5078
59,5090
59,5099
59,5105
59,5115
59,5138
59,5152
59,5168
59,5202
59,5282
59,5328
59,5330
59,5391
59,5430
59,5436
59,5450
59,5453
59,5475
59,5540
59,5990
59,6009
59,6129
59,6215
59,6403
59,6535
59,6629
59,6648
59,6824
59,6827
59,6847
59,6848
59,6870
59,6943
59,7289
59,7490
59,7524
59,7587
59,7588
59,7589
59,7740
59,7825
59,7908
59,8547
59,8584
59,8585
59,8586
59,8587
59,8588
59,8589
59,8590
59,8847
59,8848
59,8849
60,973
60,1814
60,1917
60,2868
60,3149
60,3758
60,3759
60,3760
60,3761
60,5184
60,6732
60,6733
61,5173
62,6144
63,159
63,314
63,324
63,577
63,716
63,873
63,1356
63,1459
63,1610
63,1676
63,1705
63,1791
63,1970
63,2064
63,2531
63,2865
63,3089
63,3108
63,3113
63,3143
63,3146
63,3450
63,3469
63,3569
63,3615
63,3824
63,3839
63,3844
63,3847
63,3859
63,3873
63,3940
63,4077
63,4165
63,4185
63,4192
63,4204
63,4433
63,4705
63,4735
