in,out
0,1
0,2
0,3
0,4
0,5
0,7
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,18
0,19
0,23
0,24
0,25
0,28
0,29
0,30
0,32
0,35
0,37
0,46
0,47
0,49
0,59
0,60
0,61
0,67
0,68
0,70
0,74
0,78
0,80
0,81
0,83
0,84
0,85
0,92
0,94
0,96
0,97
0,102
0,103
0,112
0,113
0,116
0,117
0,124
0,125
0,126
0,130
0,134
0,135
0,136
0,137
0,146
0,147
0,149
0,150
0,151
0,153
0,156
0,165
0,168
0,169
0,179
0,181
0,186
0,190
0,195
0,196
0,213
0,215
0,216
0,218
0,228
0,236
0,241
0,244
0,247
0,250
0,254
0,260
0,262
0,263
0,264
0,274
0,285
0,291
0,299
0,301
0,304
0,308
0,309
0,311
0,312
0,316
0,329
0,333
0,349
0,355
0,358
0,366
0,367
0,369
0,370
0,377
0,378
0,386
0,390
0,396
0,401
0,403
0,404
0,430
0,431
0,433
0,439
0,455
0,467
0,475
0,492
0,502
0,506
0,512
0,514
0,515
0,516
0,519
0,522
0,528
0,531
0,534
0,539
0,544
0,546
0,547
0,549
0,556
0,564
0,577
0,578
0,580
0,591
0,595
0,610
0,617
0,620
0,623
0,631
0,653
0,662
0,666
0,683
0,697
0,703
0,705
0,709
0,714
0,749
0,751
0,756
0,797
0,831
0,834
0,836
0,837
0,838
0,853
0,854
0,855
0,875
0,878
0,898
0,903
0,912
0,933
0,937
0,963
0,988
0,990
0,1010
0,1021
0,1025
0,1029
0,1041
0,1046
0,1077
0,1094
0,1119
0,1122
0,1137
0,1155
0,1167
0,1175
0,1193
0,1199
0,1205
0,1220
0,1225
0,1227
0,1237
0,1238
0,1240
0,1260
0,1273
0,1291
0,1309
0,1321
0,1335
0,1346
0,1356
0,1369
0,1370
0,1380
0,1385
0,1410
0,1413
0,1419
0,1423
0,1425
0,1472
0,1496
0,1507
0,1510
0,1555
0,1561
0,1575
0,1578
0,1618
0,1624
0,1632
0,1668
0,1687
0,1707
0,1723
0,1727
0,1737
0,1754
0,1758
0,1764
0,1771
0,1802
0,1880
0,1894
0,1912
0,1922
0,2035
0,2043
0,2054
0,2058
0,2151
0,2163
0,2182
0,2187
0,2213
0,2236
0,2243
0,2250
0,2272
0,2296
0,2320
0,2346
0,2349
0,2358
0,2370
0,2371
0,2392
0,2424
0,2455
0,2508
0,2526
0,2553
0,2572
0,2610
0,2641
0,2642
0,2672
0,2676
0,2689
0,2711
0,2759
0,2785
0,2814
0,2830
0,2911
0,2941
0,2965
0,3015
0,3069
0,3080
0,3118
0,3130
0,3132
0,3133
0,3249
0,3263
0,3289
0,3301
0,3308
0,3319
0,3320
0,3350
0,3361
0,3362
0,3392
0,3403
0,3409
0,3415
0,3418
0,3453
0,3464
0,3478
0,3495
0,3502
0,3517
0,3524
0,3554
0,3591
0,3634
0,3653
0,3660
0,3668
0,3682
0,3738
0,3754
0,3784
0,3800
0,3825
0,3831
0,3856
0,3891
0,3926
0,3943
0,3954
0,3955
0,3962
0,4004
0,4052
0,4083
0,4101
0,4103
0,4214
0,4232
0,4254
0,4289
0,4294
0,4318
0,4323
0,4357
0,4374
0,4427
0,4434
0,4460
0,4483
0,4514
0,4547
0,4557
0,4594
0,4677
0,4688
0,4711
0,4717
0,4733
0,4751
0,4774
0,4798
0,4829
0,4868
0,4942
0,4949
0,4978
0,4984
0,5008
0,5028
0,5058
0,5127
0,5208
0,5209
0,5237
0,5291
0,5323
0,5337
0,5356
0,5361
0,5366
0,5554
0,5591
0,5640
0,5648
0,5651
0,5661
0,5665
0,5666
0,5757
0,5770
0,5836
0,5866
0,5903
0,5916
0,5924
0,5974
0,6047
0,6091
0,6107
0,6134
0,6183
0,6244
0,6337
0,6340
0,6355
0,6392
0,6393
0,6398
0,6427
0,6446
0,6483
0,6551
0,6556
0,6573
0,6592
0,6601
0,6613
0,6677
0,6704
0,6727
0,6772
0,6798
0,6810
0,6813
0,6946
0,6969
0,7014
0,7067
0,7098
0,7131
0,7148
0,7153
0,7154
0,7242
0,7303
0,7349
0,7432
0,7433
0,7440
0,7494
0,7606
0,7794
0,7804
0,7825
0,7881
0,7962
0,7983
0,7989
0,8080
0,8118
0,8203
0,8294
0,8310
0,8318
0,8389
0,8462
0,8582
0,8668
0,8702
0,8777
0,9035
0,9052
0,9114
0,9151
0,9226
0,9243
0,9348
0,9363
0,9381
0,9458
0,9498
0,9508
0,9518
0,9537
0,9636
0,9681
0,9721
0,9798
0,9877
0,9892
0,9905
0,9948
0,9958
0,9980
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,11
1,12
1,13
1,14
1,15
1,16
1,18
1,19
1,21
1,22
1,24
1,28
1,30
1,32
1,34
1,36
1,37
1,38
1,47
1,49
1,57
1,59
1,67
1,70
1,72
1,90
1,97
1,109
1,112
1,114
1,115
1,117
1,120
1,121
1,123
1,133
1,134
1,139
1,162
1,167
1,172
1,181
1,186
1,192
1,205
1,211
1,234
1,236
1,243
1,244
1,248
1,249
1,256
1,258
1,262
1,264
1,287
1,301
1,302
1,310
1,319
1,320
1,327
1,331
1,336
1,339
1,347
1,370
1,377
1,380
1,389
1,400
1,411
1,413
1,419
1,428
1,440
1,444
1,446
1,447
1,461
1,472
1,492
1,512
1,517
1,540
1,542
1,555
1,567
1,570
1,576
1,581
1,618
1,622
1,623
1,625
1,632
1,639
1,643
1,649
1,656
1,666
1,669
1,673
1,677
1,679
1,684
1,692
1,693
1,704
1,714
1,724
1,726
1,733
1,737
1,767
1,817
1,818
1,847
1,852
1,856
1,867
1,878
1,881
1,926
1,928
1,930
1,933
1,947
1,951
1,1003
1,1010
1,1014
1,1025
1,1027
1,1039
1,1074
1,1097
1,1099
1,1158
1,1165
1,1168
1,1170
1,1173
1,1196
1,1219
1,1221
1,1240
1,1272
1,1287
1,1307
1,1309
1,1326
1,1332
1,1343
1,1375
1,1379
1,1383
1,1389
1,1396
1,1416
1,1426
1,1430
1,1432
1,1441
1,1443
1,1454
1,1476
1,1493
1,1520
1,1522
1,1531
1,1580
1,1581
1,1606
1,1609
1,1644
1,1651
1,1661
1,1663
1,1675
1,1677
1,1686
1,1707
1,1720
1,1721
1,1730
1,1747
1,1774
1,1777
1,1785
1,1798
1,1859
1,1864
1,1868
1,1879
1,1895
1,1915
1,1943
1,1968
1,1978
1,2003
1,2021
1,2022
1,2042
1,2049
1,2057
1,2066
1,2129
1,2133
1,2141
1,2146
1,2155
1,2201
1,2234
1,2260
1,2308
1,2309
1,2344
1,2377
1,2379
1,2404
1,2449
1,2485
1,2539
1,2546
1,2561
1,2567
1,2613
1,2641
1,2682
1,2691
1,2712
1,2744
1,2758
1,2823
1,2934
1,2940
1,2988
1,2992
1,3013
1,3229
1,3230
1,3239
1,3244
1,3256
1,3266
1,3312
1,3323
1,3329
1,3342
1,3359
1,3471
1,3506
1,3519
1,3555
1,3563
1,3659
1,3663
1,3734
1,3768
1,3769
1,3815
1,3846
