target,model_name,measure,value
cada,linear_model,r2_score,0.2699955747823055
cada,linear_model,spearmans,0.6373099229587778
cada,linear_model,kendall,0.464689528142347
cada,ridge,r2_score,0.2282362957335169
cada,ridge,spearmans,0.5940965924324805
cada,ridge,kendall,0.43031330017636743
cada,random_forest,r2_score,0.37832914877685087
cada,random_forest,spearmans,0.7232000902820261
cada,random_forest,kendall,0.5599077375576189
cada,xgboost,r2_score,0.3685799145303086
cada,xgboost,spearmans,0.7482886638869644
cada,xgboost,kendall,0.5866032757633011
cada,lightgbm,r2_score,0.39514293837874703
cada,lightgbm,spearmans,0.718895141163653
cada,lightgbm,kendall,0.5526131138206865
edge_contr,linear_model,r2_score,0.3558377439587942
edge_contr,linear_model,spearmans,0.6571370381469205
edge_contr,linear_model,kendall,0.48067967054794664
edge_contr,ridge,r2_score,0.30202110780881064
edge_contr,ridge,spearmans,0.6159852863573068
edge_contr,ridge,kendall,0.44607631174148515
edge_contr,random_forest,r2_score,0.49596545123145463
edge_contr,random_forest,spearmans,0.7575897503048876
edge_contr,random_forest,kendall,0.5899907549666085
edge_contr,xgboost,r2_score,0.5247094890516151
edge_contr,xgboost,spearmans,0.7764006941523622
edge_contr,xgboost,kendall,0.6140274563427572
edge_contr,lightgbm,r2_score,0.4935613339941106
edge_contr,lightgbm,spearmans,0.7485660977609192
edge_contr,lightgbm,kendall,0.5768955364433377
in_mod_deg,linear_model,r2_score,0.7158957205998966
in_mod_deg,linear_model,spearmans,0.8875705538146421
in_mod_deg,linear_model,kendall,0.7105023139627831
in_mod_deg,ridge,r2_score,0.6633625270298746
in_mod_deg,ridge,spearmans,0.8363550822348323
in_mod_deg,ridge,kendall,0.6480032131783267
in_mod_deg,random_forest,r2_score,0.8521713952726715
in_mod_deg,random_forest,spearmans,0.950964169474338
in_mod_deg,random_forest,kendall,0.8267028616605069
in_mod_deg,xgboost,r2_score,0.8541491418387938
in_mod_deg,xgboost,spearmans,0.958874803355531
in_mod_deg,xgboost,kendall,0.8449516031779776
in_mod_deg,lightgbm,r2_score,0.7994642665176385
in_mod_deg,lightgbm,spearmans,0.9343054143741443
in_mod_deg,lightgbm,kendall,0.7920533999767458
participation,linear_model,r2_score,0.43105857679938075
participation,linear_model,spearmans,0.6801627885940972
participation,linear_model,kendall,0.5013917220954072
participation,ridge,r2_score,0.37050628686386744
participation,ridge,spearmans,0.6419596652061949
participation,ridge,kendall,0.4671128453776883
participation,random_forest,r2_score,0.595471994985648
participation,random_forest,spearmans,0.789214752006902
participation,random_forest,kendall,0.6183758121670632
participation,xgboost,r2_score,0.6217732680368695
participation,xgboost,spearmans,0.7972924955925299
participation,xgboost,kendall,0.6318402199829563
participation,lightgbm,r2_score,0.5816266010734408
participation,lightgbm,spearmans,0.7774401431163943
participation,lightgbm,kendall,0.6038843332667138
beta_star,linear_model,r2_score,0.5508428030759263
beta_star,linear_model,spearmans,0.7747714530757046
beta_star,linear_model,kendall,0.571046066263913
beta_star,ridge,r2_score,0.49730340539572093
beta_star,ridge,spearmans,0.7419836208668298
beta_star,ridge,kendall,0.5360386695374069
beta_star,random_forest,r2_score,0.6595081951232085
beta_star,random_forest,spearmans,0.8298691251471095
beta_star,random_forest,kendall,0.6432275216194597
beta_star,xgboost,r2_score,0.6560814997389612
beta_star,xgboost,spearmans,0.828973790596229
beta_star,xgboost,kendall,0.6510825619614309
beta_star,lightgbm,r2_score,0.6421065953597995
beta_star,lightgbm,spearmans,0.8183699384985436
beta_star,lightgbm,kendall,0.6211335168231573
l1,linear_model,r2_score,0.6498924652395113
l1,linear_model,spearmans,0.8257691215251175
l1,linear_model,kendall,0.6287894307572859
l1,ridge,r2_score,0.6213576139448143
l1,ridge,spearmans,0.8143359058760032
l1,ridge,kendall,0.6137495931875138
l1,random_forest,r2_score,0.749179830662292
l1,random_forest,spearmans,0.8718577359419616
l1,random_forest,kendall,0.7031443581193725
l1,xgboost,r2_score,0.7651707307398143
l1,xgboost,spearmans,0.8806725246527489
l1,xgboost,kendall,0.7175068650121544
l1,lightgbm,r2_score,0.740370839144604
l1,lightgbm,spearmans,0.8671213319578863
l1,lightgbm,kendall,0.687426014994151
l2,linear_model,r2_score,0.6189900987485201
l2,linear_model,spearmans,0.810191127624511
l2,linear_model,kendall,0.6120354219013387
l2,ridge,r2_score,0.587285418390608
l2,ridge,spearmans,0.7956512618149052
l2,ridge,kendall,0.5949266090095727
l2,random_forest,r2_score,0.7257360231398597
l2,random_forest,spearmans,0.8627579837676915
l2,random_forest,kendall,0.6912600962710852
l2,xgboost,r2_score,0.7437027877228765
l2,xgboost,spearmans,0.8727582195514105
l2,xgboost,kendall,0.7075709515537115
l2,lightgbm,r2_score,0.7144890279643142
l2,lightgbm,spearmans,0.8561088222401501
l2,lightgbm,kendall,0.6721889066758534
kl,linear_model,r2_score,0.5255749902712757
kl,linear_model,spearmans,0.7874262886751171
kl,linear_model,kendall,0.589241477419375
kl,ridge,r2_score,0.5148908068209856
kl,ridge,spearmans,0.7826878832724866
kl,ridge,kendall,0.5834516229901427
kl,random_forest,r2_score,0.752798207706657
kl,random_forest,spearmans,0.8504992428363496
kl,random_forest,kendall,0.6757071947306327
kl,xgboost,r2_score,0.7693825249146644
kl,xgboost,spearmans,0.8715070082615807
kl,xgboost,kendall,0.7070395777445634
kl,lightgbm,r2_score,0.7001504189623637
kl,lightgbm,spearmans,0.8357669089859251
kl,lightgbm,kendall,0.6534579636335962
hd,linear_model,r2_score,0.6934024332700246
hd,linear_model,spearmans,0.8443986956283831
hd,linear_model,kendall,0.6522000330316979
hd,ridge,r2_score,0.671285118769541
hd,ridge,spearmans,0.8394595442714426
hd,ridge,kendall,0.6451846134413168
hd,random_forest,r2_score,0.7930731536129492
hd,random_forest,spearmans,0.8929516637294013
hd,random_forest,kendall,0.727108247006887
hd,xgboost,r2_score,0.7970490406636241
hd,xgboost,spearmans,0.8939216575447075
hd,xgboost,kendall,0.7340307408639063
hd,lightgbm,r2_score,0.7710876781424214
hd,lightgbm,spearmans,0.8810773433968783
hd,lightgbm,kendall,0.7058633052582666
l12,linear_model,r2_score,0.7960326502756564
l12,linear_model,spearmans,0.8463940451687577
l12,linear_model,kendall,0.6652017877776948
l12,ridge,r2_score,0.7572781759978491
l12,ridge,spearmans,0.806398931051708
l12,ridge,kendall,0.6212829348123674
l12,random_forest,r2_score,0.8720269503355137
l12,random_forest,spearmans,0.9042508761345712
l12,random_forest,kendall,0.7505439953022498
l12,xgboost,r2_score,0.8827953903823669
l12,xgboost,spearmans,0.9174336785384168
l12,xgboost,kendall,0.7724460260633536
l12,lightgbm,r2_score,0.8559133321431589
l12,lightgbm,spearmans,0.891897807128312
l12,lightgbm,kendall,0.7286092317345174
l22,linear_model,r2_score,0.7346591068781587
l22,linear_model,spearmans,0.8025198978675373
l22,linear_model,kendall,0.6152977576696327
l22,ridge,r2_score,0.690200984045021
l22,ridge,spearmans,0.7508969750375994
l22,ridge,kendall,0.564548787808346
l22,random_forest,r2_score,0.8477500434863425
l22,random_forest,spearmans,0.8907003322275711
l22,random_forest,kendall,0.7296370602912432
l22,xgboost,r2_score,0.8634325618729072
l22,xgboost,spearmans,0.9058097032125637
l22,xgboost,kendall,0.754497206376972
l22,lightgbm,r2_score,0.8238625259709595
l22,lightgbm,spearmans,0.8735467582328869
l22,lightgbm,kendall,0.7021971037111187
kl2,linear_model,r2_score,0.7360004679900588
kl2,linear_model,spearmans,0.8644722270634134
kl2,linear_model,kendall,0.6800549319991948
kl2,ridge,r2_score,0.7137954835231641
kl2,ridge,spearmans,0.8323753885359595
kl2,ridge,kendall,0.6412070127162754
kl2,random_forest,r2_score,0.883891246169629
kl2,random_forest,spearmans,0.8866099081016513
kl2,random_forest,kendall,0.7247723397721163
kl2,xgboost,r2_score,0.869746752773921
kl2,xgboost,spearmans,0.9177601154810578
kl2,xgboost,kendall,0.7735300597222744
kl2,lightgbm,r2_score,0.8282975394754607
kl2,lightgbm,spearmans,0.8816933015917117
kl2,lightgbm,kendall,0.7110812580085301
hd2,linear_model,r2_score,0.8719320476175613
hd2,linear_model,spearmans,0.9132513008908285
hd2,linear_model,kendall,0.748636258897822
hd2,ridge,r2_score,0.8367164975618462
hd2,ridge,spearmans,0.8805624722847071
hd2,ridge,kendall,0.7015487827896459
hd2,random_forest,r2_score,0.9161422300624467
hd2,random_forest,spearmans,0.9372183596588421
hd2,random_forest,kendall,0.7959870218643622
hd2,xgboost,r2_score,0.9211218612357258
hd2,xgboost,spearmans,0.9478868458023522
hd2,xgboost,kendall,0.8173861630916085
hd2,lightgbm,r2_score,0.9006574243015883
hd2,lightgbm,spearmans,0.9309942720759257
hd2,lightgbm,kendall,0.7801919887736793
