features,model_name,measure,value
participation,log_reg,roc_auc_score,0.586
participation,log_reg,average_precision_score,0.109
participation,log_reg,average_precision_score_0.01,0.086
participation,log_reg,average_precision_score_0.05,0.086
participation,log_reg,average_precision_score_0.1,0.086
participation,random_forest,roc_auc_score,0.606
participation,random_forest,average_precision_score,0.135
participation,random_forest,average_precision_score_0.01,0.089
participation,random_forest,average_precision_score_0.05,0.098
participation,random_forest,average_precision_score_0.1,0.106
participation,lightgbm,roc_auc_score,0.589
participation,lightgbm,average_precision_score,0.13
participation,lightgbm,average_precision_score_0.01,0.086
participation,lightgbm,average_precision_score_0.05,0.089
participation,lightgbm,average_precision_score_0.1,0.09
participation,xgboost,roc_auc_score,0.602
participation,xgboost,average_precision_score,0.138
participation,xgboost,average_precision_score_0.01,0.086
participation,xgboost,average_precision_score_0.05,0.089
participation,xgboost,average_precision_score_0.1,0.102
in_mod_deg,log_reg,roc_auc_score,0.499
in_mod_deg,log_reg,average_precision_score,0.087
in_mod_deg,log_reg,average_precision_score_0.01,0.086
in_mod_deg,log_reg,average_precision_score_0.05,0.086
in_mod_deg,log_reg,average_precision_score_0.1,0.086
in_mod_deg,random_forest,roc_auc_score,0.637
in_mod_deg,random_forest,average_precision_score,0.145
in_mod_deg,random_forest,average_precision_score_0.01,0.091
in_mod_deg,random_forest,average_precision_score_0.05,0.098
in_mod_deg,random_forest,average_precision_score_0.1,0.108
in_mod_deg,lightgbm,roc_auc_score,0.633
in_mod_deg,lightgbm,average_precision_score,0.153
in_mod_deg,lightgbm,average_precision_score_0.01,0.086
in_mod_deg,lightgbm,average_precision_score_0.05,0.093
in_mod_deg,lightgbm,average_precision_score_0.1,0.108
in_mod_deg,xgboost,roc_auc_score,0.625
in_mod_deg,xgboost,average_precision_score,0.15
in_mod_deg,xgboost,average_precision_score_0.01,0.086
in_mod_deg,xgboost,average_precision_score_0.05,0.086
in_mod_deg,xgboost,average_precision_score_0.1,0.086
beta_star,log_reg,roc_auc_score,0.523
beta_star,log_reg,average_precision_score,0.089
beta_star,log_reg,average_precision_score_0.01,0.086
beta_star,log_reg,average_precision_score_0.05,0.086
beta_star,log_reg,average_precision_score_0.1,0.086
beta_star,random_forest,roc_auc_score,0.645
beta_star,random_forest,average_precision_score,0.159
beta_star,random_forest,average_precision_score_0.01,0.088
beta_star,random_forest,average_precision_score_0.05,0.102
beta_star,random_forest,average_precision_score_0.1,0.109
beta_star,lightgbm,roc_auc_score,0.646
beta_star,lightgbm,average_precision_score,0.157
beta_star,lightgbm,average_precision_score_0.01,0.086
beta_star,lightgbm,average_precision_score_0.05,0.096
beta_star,lightgbm,average_precision_score_0.1,0.11
beta_star,xgboost,roc_auc_score,0.628
beta_star,xgboost,average_precision_score,0.161
beta_star,xgboost,average_precision_score_0.01,0.086
beta_star,xgboost,average_precision_score_0.05,0.086
beta_star,xgboost,average_precision_score_0.1,0.106
edge_contr,log_reg,roc_auc_score,0.584
edge_contr,log_reg,average_precision_score,0.108
edge_contr,log_reg,average_precision_score_0.01,0.086
edge_contr,log_reg,average_precision_score_0.05,0.086
edge_contr,log_reg,average_precision_score_0.1,0.086
edge_contr,random_forest,roc_auc_score,0.61
edge_contr,random_forest,average_precision_score,0.138
edge_contr,random_forest,average_precision_score_0.01,0.088
edge_contr,random_forest,average_precision_score_0.05,0.097
edge_contr,random_forest,average_precision_score_0.1,0.106
edge_contr,lightgbm,roc_auc_score,0.612
edge_contr,lightgbm,average_precision_score,0.138
edge_contr,lightgbm,average_precision_score_0.01,0.086
edge_contr,lightgbm,average_precision_score_0.05,0.086
edge_contr,lightgbm,average_precision_score_0.1,0.096
edge_contr,xgboost,roc_auc_score,0.6
edge_contr,xgboost,average_precision_score,0.131
edge_contr,xgboost,average_precision_score_0.01,0.086
edge_contr,xgboost,average_precision_score_0.05,0.086
edge_contr,xgboost,average_precision_score_0.1,0.086
cada,log_reg,roc_auc_score,0.584
cada,log_reg,average_precision_score,0.108
cada,log_reg,average_precision_score_0.01,0.086
cada,log_reg,average_precision_score_0.05,0.086
cada,log_reg,average_precision_score_0.1,0.086
cada,random_forest,roc_auc_score,0.609
cada,random_forest,average_precision_score,0.138
cada,random_forest,average_precision_score_0.01,0.088
cada,random_forest,average_precision_score_0.05,0.098
cada,random_forest,average_precision_score_0.1,0.106
cada,lightgbm,roc_auc_score,0.602
cada,lightgbm,average_precision_score,0.127
cada,lightgbm,average_precision_score_0.01,0.086
cada,lightgbm,average_precision_score_0.05,0.086
cada,lightgbm,average_precision_score_0.1,0.095
cada,xgboost,roc_auc_score,0.6
cada,xgboost,average_precision_score,0.131
cada,xgboost,average_precision_score_0.01,0.086
cada,xgboost,average_precision_score_0.05,0.086
cada,xgboost,average_precision_score_0.1,0.086
kl,log_reg,roc_auc_score,0.602
