model_name,variable,value
Random Forest,participation,-0.0018872955722336244
Random Forest,in_mod_deg,-0.002835611797900953
Random Forest,beta_star,-0.0010879109969384238
Random Forest,edge_contr,-0.0022696240948440415
Random Forest,cada,-0.00044739780048421996
Random Forest,kl,-0.0008219287517906154
Random Forest,l1,-1.3036598508600616e-05
Random Forest,l2,-0.0001971106146841345
Random Forest,hd,-0.0004596821394619338
Random Forest,kl2,0.0002651432243474999
Random Forest,l12,0.0005777165055617734
Random Forest,l22,0.00021519670839765249
Random Forest,hd2,-0.000260216894926768
Random Forest,lcc,0.01892745878610983
Random Forest,bc,0.024831885573810684
Random Forest,dc,0.0015371411715178196
Random Forest,ndc,0.006276107361321196
Random Forest,cc,0.0035799582236577506
Random Forest,ec,0.0020233004453487774
Random Forest,eccen,-0.00045373268777785803
Random Forest,core,0.001695800561781763
Random Forest,emb_node2vec_0,-0.002065329069727373
Random Forest,emb_node2vec_1,-2.6828051002250608e-05
Random Forest,emb_node2vec_2,-0.0027554475611187208
Random Forest,emb_node2vec_3,-0.0002384979933131942
Random Forest,emb_node2vec_4,0.002765740541247458
Random Forest,emb_node2vec_5,0.0076256947029555155
Random Forest,emb_node2vec_6,-0.0035797816748995683
Random Forest,emb_node2vec_7,0.0017494789781625387
Random Forest,emb_node2vec_8,-0.004522081889149629
Random Forest,emb_node2vec_9,-0.0007613898550971915
Random Forest,emb_node2vec_10,-0.0014328512580641189
Random Forest,emb_node2vec_11,-0.0013591359444800276
Random Forest,emb_node2vec_12,-0.0016708626067134997
Random Forest,emb_node2vec_13,-0.007526845184851058
Random Forest,emb_node2vec_14,-0.0016726875020440317
Random Forest,emb_node2vec_15,-0.0031812203527386675
Random Forest,emb_struc2vec_1,-0.0018583613367203849
Random Forest,emb_struc2vec_2,-0.0006469311775455899
Random Forest,emb_struc2vec_3,-0.0011128161345920957
Random Forest,emb_struc2vec_4,-0.002854427792992048
Random Forest,emb_struc2vec_5,-0.002113492378382348
Random Forest,emb_struc2vec_6,-0.0035495079098504857
Random Forest,emb_struc2vec_7,-0.0014113243249941122
Random Forest,emb_struc2vec_8,-0.0001082588343321339
Random Forest,emb_struc2vec_9,-0.0008411466587986055
Random Forest,emb_struc2vec_10,-0.00015953191070384453
Random Forest,emb_struc2vec_11,-0.0005403351265016343
Random Forest,emb_struc2vec_12,-0.0015198093889703195
Random Forest,emb_struc2vec_13,0.00038388411648506706
Random Forest,emb_struc2vec_14,-0.00016169569743211543
Random Forest,emb_struc2vec_15,-0.0012137736268008708
Random Forest,emb_struc2vec_16,-0.0017566419095671887
