target,model_name,measure,value
cada,linear_model,r2_score,0.2588590243488297
cada,linear_model,spearmans,0.620053767770322
cada,linear_model,kendall,0.4751008385302136
cada,ridge,r2_score,0.2445242621140804
cada,ridge,spearmans,0.612104450278039
cada,ridge,kendall,0.46941785769384453
cada,random_forest,r2_score,0.4099475820702354
cada,random_forest,spearmans,0.6907073898684097
cada,random_forest,kendall,0.5471348498501433
cada,xgboost,r2_score,0.4431039140296362
cada,xgboost,spearmans,0.7097403082836047
cada,xgboost,kendall,0.5654161994548257
cada,lightgbm,r2_score,0.44095980663277135
cada,lightgbm,spearmans,0.6895652333112721
cada,lightgbm,kendall,0.5433146564349717
edge_contr,linear_model,r2_score,0.33047848422291404
edge_contr,linear_model,spearmans,0.6457435413650624
edge_contr,linear_model,kendall,0.4952550963306801
edge_contr,ridge,r2_score,0.3247841278935405
edge_contr,ridge,spearmans,0.6375375420668213
edge_contr,ridge,kendall,0.48883884122721255
edge_contr,random_forest,r2_score,0.502165841855493
edge_contr,random_forest,spearmans,0.7174260036576279
edge_contr,random_forest,kendall,0.5674369398829364
edge_contr,xgboost,r2_score,0.5384501258743171
edge_contr,xgboost,spearmans,0.7287596277769328
edge_contr,xgboost,kendall,0.5788703359813159
edge_contr,lightgbm,r2_score,0.5217360755232766
edge_contr,lightgbm,spearmans,0.7174520094027834
edge_contr,lightgbm,kendall,0.5670959564960714
in_mod_deg,linear_model,r2_score,0.7775166258250998
in_mod_deg,linear_model,spearmans,0.8792879024088683
in_mod_deg,linear_model,kendall,0.698642606187796
in_mod_deg,ridge,r2_score,0.7353931441516052
in_mod_deg,ridge,spearmans,0.878495849240324
in_mod_deg,ridge,kendall,0.694251879429572
in_mod_deg,random_forest,r2_score,0.8876589269602966
in_mod_deg,random_forest,spearmans,0.9342221168984574
in_mod_deg,random_forest,kendall,0.7906951740267504
in_mod_deg,xgboost,r2_score,0.8899030567580559
in_mod_deg,xgboost,spearmans,0.9575591710204503
in_mod_deg,xgboost,kendall,0.8398490331824752
in_mod_deg,lightgbm,r2_score,0.8920499362469486
in_mod_deg,lightgbm,spearmans,0.9294717019647712
in_mod_deg,lightgbm,kendall,0.7770477606982199
participation,linear_model,r2_score,0.39316469828778633
participation,linear_model,spearmans,0.6706016248853246
participation,linear_model,kendall,0.5155737622303521
participation,ridge,r2_score,0.38763374241841453
participation,ridge,spearmans,0.6628459827545421
participation,ridge,kendall,0.5087444818548092
participation,random_forest,r2_score,0.5710363078626268
participation,random_forest,spearmans,0.7403682767686747
participation,random_forest,kendall,0.5835298919244
participation,xgboost,r2_score,0.6075990900625781
participation,xgboost,spearmans,0.748072653102657
participation,xgboost,kendall,0.5930294365620807
participation,lightgbm,r2_score,0.5865861670194468
participation,lightgbm,spearmans,0.7380580711940484
participation,lightgbm,kendall,0.5816815102325131
beta_star,linear_model,r2_score,0.40465402952313567
beta_star,linear_model,spearmans,0.7251261496699777
beta_star,linear_model,kendall,0.5249780749021001
beta_star,ridge,r2_score,0.398007758511951
beta_star,ridge,spearmans,0.7194297711082529
beta_star,ridge,kendall,0.5201636201292875
beta_star,random_forest,r2_score,0.5546001769432949
beta_star,random_forest,spearmans,0.7717564828856245
beta_star,random_forest,kendall,0.5792833478105653
beta_star,xgboost,r2_score,0.5868308574796822
beta_star,xgboost,spearmans,0.8067302727452438
beta_star,xgboost,kendall,0.6205243731046436
beta_star,lightgbm,r2_score,0.5670946994047408
beta_star,lightgbm,spearmans,0.7610584110950461
beta_star,lightgbm,kendall,0.5646638725721902
l1,linear_model,r2_score,0.5934415436685729
l1,linear_model,spearmans,0.7471617138663587
l1,linear_model,kendall,0.5589882616160756
l1,ridge,r2_score,0.5799122473703242
l1,ridge,spearmans,0.7403032656293128
l1,ridge,kendall,0.5515887796050363
l1,random_forest,r2_score,0.7056719081249871
l1,random_forest,spearmans,0.8262974720811631
l1,random_forest,kendall,0.6440493543207362
l1,xgboost,r2_score,0.770147489529554
l1,xgboost,spearmans,0.8723119980346613
l1,xgboost,kendall,0.6984585260021728
l1,lightgbm,r2_score,0.7060636020242266
l1,lightgbm,spearmans,0.8158018175011226
l1,lightgbm,kendall,0.6247201855541363
l2,linear_model,r2_score,0.48474066196916366
l2,linear_model,spearmans,0.7246056655121496
l2,linear_model,kendall,0.5319880545221386
l2,ridge,r2_score,0.47450030495691187
l2,ridge,spearmans,0.7168533000924896
l2,ridge,kendall,0.5249465701794199
l2,random_forest,r2_score,0.6160949590029536
l2,random_forest,spearmans,0.7839069797507064
l2,random_forest,kendall,0.594239880054205
l2,xgboost,r2_score,0.6588217609024303
l2,xgboost,spearmans,0.820145443872193
l2,xgboost,kendall,0.6379032160411519
l2,lightgbm,r2_score,0.6219261232157033
l2,lightgbm,spearmans,0.7794852062746411
l2,lightgbm,kendall,0.5866658148945677
kl,linear_model,r2_score,0.43943415958538634
kl,linear_model,spearmans,0.6979025787638217
kl,linear_model,kendall,0.5182152238057779
kl,ridge,r2_score,0.4362214289336188
kl,ridge,spearmans,0.6963057901833812
kl,ridge,kendall,0.5163236701755907
kl,random_forest,r2_score,0.7111950466039912
kl,random_forest,spearmans,0.8395297229104399
kl,random_forest,kendall,0.6780018869534828
kl,xgboost,r2_score,0.8091771955793334
kl,xgboost,spearmans,0.8943173838373999
kl,xgboost,kendall,0.7458491630461067
kl,lightgbm,r2_score,0.6647513164333194
kl,lightgbm,spearmans,0.8185517024974175
kl,lightgbm,kendall,0.6430222511181383
hd,linear_model,r2_score,0.5912390226850841
hd,linear_model,spearmans,0.7394153924484419
hd,linear_model,kendall,0.5545800399154069
hd,ridge,r2_score,0.5810408454935544
hd,ridge,spearmans,0.7356061350713304
hd,ridge,kendall,0.5502956809427813
hd,random_forest,r2_score,0.732477698319727
hd,random_forest,spearmans,0.855386348556906
hd,random_forest,kendall,0.6842456338011909
hd,xgboost,r2_score,0.8080100207394785
hd,xgboost,spearmans,0.8987706949281986
hd,xgboost,kendall,0.7396785334937627
hd,lightgbm,r2_score,0.7170911322896685
hd,lightgbm,spearmans,0.8420584153380847
hd,lightgbm,kendall,0.6610798359382547
l12,linear_model,r2_score,0.6927068592856735
l12,linear_model,spearmans,0.8633424366563293
l12,linear_model,kendall,0.6762802867950085
l12,ridge,r2_score,0.6774912117417751
l12,ridge,spearmans,0.8584289073490227
l12,ridge,kendall,0.6695329718995551
l12,random_forest,r2_score,0.8268861754458348
l12,random_forest,spearmans,0.8958395284026274
l12,random_forest,kendall,0.7272860981273033
l12,xgboost,r2_score,0.8738920900907645
l12,xgboost,spearmans,0.9300064913698676
l12,xgboost,kendall,0.7775766196279214
l12,lightgbm,r2_score,0.8260409595094894
l12,lightgbm,spearmans,0.8955955695891581
l12,lightgbm,kendall,0.7213611736776837
l22,linear_model,r2_score,0.6470416039227851
l22,linear_model,spearmans,0.8302432978199114
l22,linear_model,kendall,0.6341359273532637
l22,ridge,r2_score,0.6365892663798149
l22,ridge,spearmans,0.8240262870163876
l22,ridge,kendall,0.6269492950606234
l22,random_forest,r2_score,0.7680544616627406
l22,random_forest,spearmans,0.8801520071176928
l22,random_forest,kendall,0.7004810495636683
l22,xgboost,r2_score,0.8077048699550499
l22,xgboost,spearmans,0.901522384214257
l22,xgboost,kendall,0.7324214628298702
l22,lightgbm,r2_score,0.7639298509863596
l22,lightgbm,spearmans,0.8743958358236847
l22,lightgbm,kendall,0.6887892278607534
kl2,linear_model,r2_score,0.5964176349352188
kl2,linear_model,spearmans,0.8081799279040465
kl2,linear_model,kendall,0.6212729299171408
kl2,ridge,r2_score,0.5881328424213624
kl2,ridge,spearmans,0.8039861412604632
kl2,ridge,kendall,0.6156125600641638
kl2,random_forest,r2_score,0.7830562480967749
kl2,random_forest,spearmans,0.8752947788873988
kl2,random_forest,kendall,0.7113424753150234
kl2,xgboost,r2_score,0.8499523941238926
kl2,xgboost,spearmans,0.9196472361381607
kl2,xgboost,kendall,0.7738244061446229
kl2,lightgbm,r2_score,0.7476447030104993
kl2,lightgbm,spearmans,0.8680353246282467
kl2,lightgbm,kendall,0.6924135866099105
hd2,linear_model,r2_score,0.7529454780226403
hd2,linear_model,spearmans,0.8901088308563918
hd2,linear_model,kendall,0.7139614327901612
hd2,ridge,r2_score,0.7357505172823673
hd2,ridge,spearmans,0.8843730477395265
hd2,ridge,kendall,0.7047819813715045
hd2,random_forest,r2_score,0.8772471916346585
hd2,random_forest,spearmans,0.9295056687884885
hd2,random_forest,kendall,0.7780654047843176
hd2,xgboost,r2_score,0.9047541926739293
hd2,xgboost,spearmans,0.9468238831398118
hd2,xgboost,kendall,0.8087823031067469
hd2,lightgbm,r2_score,0.8626373045680199
hd2,lightgbm,spearmans,0.9208168807725922
