features,model_name,measure,value
participation,log_reg,roc_auc_score,0.604
participation,log_reg,average_precision_score,0.309
participation,log_reg,average_precision_score_0.01,0.257
participation,log_reg,average_precision_score_0.05,0.257
participation,log_reg,average_precision_score_0.1,0.257
participation,random_forest,roc_auc_score,0.602
participation,random_forest,average_precision_score,0.308
participation,random_forest,average_precision_score_0.01,0.257
participation,random_forest,average_precision_score_0.05,0.259
participation,random_forest,average_precision_score_0.1,0.262
participation,lightgbm,roc_auc_score,0.598
participation,lightgbm,average_precision_score,0.306
participation,lightgbm,average_precision_score_0.01,0.257
participation,lightgbm,average_precision_score_0.05,0.257
participation,lightgbm,average_precision_score_0.1,0.257
participation,xgboost,roc_auc_score,0.601
participation,xgboost,average_precision_score,0.307
participation,xgboost,average_precision_score_0.01,0.257
participation,xgboost,average_precision_score_0.05,0.257
participation,xgboost,average_precision_score_0.1,0.257
in_mod_deg,log_reg,roc_auc_score,0.496
in_mod_deg,log_reg,average_precision_score,0.246
in_mod_deg,log_reg,average_precision_score_0.01,0.257
in_mod_deg,log_reg,average_precision_score_0.05,0.257
in_mod_deg,log_reg,average_precision_score_0.1,0.257
in_mod_deg,random_forest,roc_auc_score,0.78
in_mod_deg,random_forest,average_precision_score,0.533
in_mod_deg,random_forest,average_precision_score_0.01,0.279
in_mod_deg,random_forest,average_precision_score_0.05,0.285
in_mod_deg,random_forest,average_precision_score_0.1,0.303
in_mod_deg,lightgbm,roc_auc_score,0.747
in_mod_deg,lightgbm,average_precision_score,0.47
in_mod_deg,lightgbm,average_precision_score_0.01,0.257
in_mod_deg,lightgbm,average_precision_score_0.05,0.299
in_mod_deg,lightgbm,average_precision_score_0.1,0.319
in_mod_deg,xgboost,roc_auc_score,0.827
in_mod_deg,xgboost,average_precision_score,0.589
in_mod_deg,xgboost,average_precision_score_0.01,0.257
in_mod_deg,xgboost,average_precision_score_0.05,0.301
in_mod_deg,xgboost,average_precision_score_0.1,0.352
beta_star,log_reg,roc_auc_score,0.636
beta_star,log_reg,average_precision_score,0.311
beta_star,log_reg,average_precision_score_0.01,0.257
beta_star,log_reg,average_precision_score_0.05,0.257
beta_star,log_reg,average_precision_score_0.1,0.257
beta_star,random_forest,roc_auc_score,0.863
beta_star,random_forest,average_precision_score,0.692
beta_star,random_forest,average_precision_score_0.01,0.319
beta_star,random_forest,average_precision_score_0.05,0.332
beta_star,random_forest,average_precision_score_0.1,0.348
beta_star,lightgbm,roc_auc_score,0.847
beta_star,lightgbm,average_precision_score,0.657
beta_star,lightgbm,average_precision_score_0.01,0.3
beta_star,lightgbm,average_precision_score_0.05,0.33
beta_star,lightgbm,average_precision_score_0.1,0.374
beta_star,xgboost,roc_auc_score,0.865
