target,model_name,measure,value
cada,linear_model,r2_score,0.041047079690656796
cada,linear_model,spearmans,0.23494880193110085
cada,linear_model,kendall,0.18996096602913365
cada,ridge,r2_score,0.04554595263216055
cada,ridge,spearmans,0.23301569864732194
cada,ridge,kendall,0.18828961903677952
cada,random_forest,r2_score,0.06901509860911947
cada,random_forest,spearmans,0.2640823518052566
cada,random_forest,kendall,0.2133957518533298
cada,xgboost,r2_score,-0.2093830937967729
cada,xgboost,spearmans,0.2151405998814067
cada,xgboost,kendall,0.17398688443311994
cada,lightgbm,r2_score,0.07211813306179293
cada,lightgbm,spearmans,0.2351857208243996
cada,lightgbm,kendall,0.1903670341242506
edge_contr,linear_model,r2_score,0.05353157055297231
edge_contr,linear_model,spearmans,0.2515190727132314
edge_contr,linear_model,kendall,0.203022705989227
edge_contr,ridge,r2_score,0.060259670402217025
edge_contr,ridge,spearmans,0.24811542748794363
edge_contr,ridge,kendall,0.20009627735378993
edge_contr,random_forest,r2_score,0.10897921929270704
edge_contr,random_forest,spearmans,0.26880414885054205
edge_contr,random_forest,kendall,0.21720681659725907
edge_contr,xgboost,r2_score,-0.04066792823269605
edge_contr,xgboost,spearmans,0.22429738678524297
edge_contr,xgboost,kendall,0.18139799753434002
edge_contr,lightgbm,r2_score,0.07717027375925167
edge_contr,lightgbm,spearmans,0.24274772300223849
edge_contr,lightgbm,kendall,0.19642119694449953
in_mod_deg,linear_model,r2_score,0.9295809524756902
in_mod_deg,linear_model,spearmans,0.9231146210664012
in_mod_deg,linear_model,kendall,0.7572208147775119
in_mod_deg,ridge,r2_score,0.9288941673528945
in_mod_deg,ridge,spearmans,0.9232450511547013
in_mod_deg,ridge,kendall,0.7563242662509437
in_mod_deg,random_forest,r2_score,0.9393024831044277
in_mod_deg,random_forest,spearmans,0.9410702611556951
in_mod_deg,random_forest,kendall,0.8025776853807696
in_mod_deg,xgboost,r2_score,0.941198521478162
in_mod_deg,xgboost,spearmans,0.9573696157008095
in_mod_deg,xgboost,kendall,0.8452086168644073
in_mod_deg,lightgbm,r2_score,0.9361521616473334
in_mod_deg,lightgbm,spearmans,0.9410889665367441
in_mod_deg,lightgbm,kendall,0.7973616343896377
participation,linear_model,r2_score,0.06700813294854446
participation,linear_model,spearmans,0.25698032950507393
participation,linear_model,kendall,0.20708291975771756
participation,ridge,r2_score,0.07659757640577614
participation,ridge,spearmans,0.25291968554153815
participation,ridge,kendall,0.20364001250017771
participation,random_forest,r2_score,0.1338298610689591
