features,model_name,measure,value
participation,log_reg,roc_auc_score,0.51
participation,log_reg,average_precision_score,0.011
participation,log_reg,average_precision_score_0.01,0.009
participation,log_reg,average_precision_score_0.05,0.009
participation,log_reg,average_precision_score_0.1,0.009
participation,random_forest,roc_auc_score,0.518
participation,random_forest,average_precision_score,0.009
participation,random_forest,average_precision_score_0.01,0.009
participation,random_forest,average_precision_score_0.05,0.009
participation,random_forest,average_precision_score_0.1,0.009
participation,lightgbm,roc_auc_score,0.518
participation,lightgbm,average_precision_score,0.011
participation,lightgbm,average_precision_score_0.01,0.01
participation,lightgbm,average_precision_score_0.05,0.009
participation,lightgbm,average_precision_score_0.1,0.009
participation,xgboost,roc_auc_score,0.5
participation,xgboost,average_precision_score,0.009
participation,xgboost,average_precision_score_0.01,0.009
participation,xgboost,average_precision_score_0.05,0.009
participation,xgboost,average_precision_score_0.1,0.009
in_mod_deg,log_reg,roc_auc_score,0.68
in_mod_deg,log_reg,average_precision_score,0.021
in_mod_deg,log_reg,average_precision_score_0.01,0.008
in_mod_deg,log_reg,average_precision_score_0.05,0.009
in_mod_deg,log_reg,average_precision_score_0.1,0.009
in_mod_deg,random_forest,roc_auc_score,0.616
in_mod_deg,random_forest,average_precision_score,0.028
in_mod_deg,random_forest,average_precision_score_0.01,0.01
in_mod_deg,random_forest,average_precision_score_0.05,0.012
in_mod_deg,random_forest,average_precision_score_0.1,0.012
in_mod_deg,lightgbm,roc_auc_score,0.61
in_mod_deg,lightgbm,average_precision_score,0.021
in_mod_deg,lightgbm,average_precision_score_0.01,0.011
in_mod_deg,lightgbm,average_precision_score_0.05,0.014
in_mod_deg,lightgbm,average_precision_score_0.1,0.009
in_mod_deg,xgboost,roc_auc_score,0.661
in_mod_deg,xgboost,average_precision_score,0.034
in_mod_deg,xgboost,average_precision_score_0.01,0.012
in_mod_deg,xgboost,average_precision_score_0.05,0.013
in_mod_deg,xgboost,average_precision_score_0.1,0.015
beta_star,log_reg,roc_auc_score,0.537
beta_star,log_reg,average_precision_score,0.014
beta_star,log_reg,average_precision_score_0.01,0.009
beta_star,log_reg,average_precision_score_0.05,0.009
beta_star,log_reg,average_precision_score_0.1,0.009
beta_star,random_forest,roc_auc_score,0.614
beta_star,random_forest,average_precision_score,0.032
beta_star,random_forest,average_precision_score_0.01,0.011
beta_star,random_forest,average_precision_score_0.05,0.011
beta_star,random_forest,average_precision_score_0.1,0.01
beta_star,lightgbm,roc_auc_score,0.622
beta_star,lightgbm,average_precision_score,0.018
beta_star,lightgbm,average_precision_score_0.01,0.012
beta_star,lightgbm,average_precision_score_0.05,0.009
beta_star,lightgbm,average_precision_score_0.1,0.009
beta_star,xgboost,roc_auc_score,0.63
beta_star,xgboost,average_precision_score,0.036
beta_star,xgboost,average_precision_score_0.01,0.012
beta_star,xgboost,average_precision_score_0.05,0.012
beta_star,xgboost,average_precision_score_0.1,0.013
edge_contr,log_reg,roc_auc_score,0.51
edge_contr,log_reg,average_precision_score,0.011
edge_contr,log_reg,average_precision_score_0.01,0.009
edge_contr,log_reg,average_precision_score_0.05,0.009
edge_contr,log_reg,average_precision_score_0.1,0.009
edge_contr,random_forest,roc_auc_score,0.519
edge_contr,random_forest,average_precision_score,0.012
edge_contr,random_forest,average_precision_score_0.01,0.009
edge_contr,random_forest,average_precision_score_0.05,0.009
edge_contr,random_forest,average_precision_score_0.1,0.009
edge_contr,lightgbm,roc_auc_score,0.518
