model_name,variable,value
Random Forest,participation,0.00010423561133750328
Random Forest,in_mod_deg,0.022734093520211766
Random Forest,beta_star,0.01536973701357234
Random Forest,edge_contr,0.00012684221275478802
Random Forest,cada,0.00013711861511776015
Random Forest,kl,0.0006119806921164088
Random Forest,l1,0.0007787581457993902
Random Forest,l2,0.001052633803420186
Random Forest,hd,0.0007914875490893502
Random Forest,kl2,5.384550469104965e-07
Random Forest,l12,0.0007117049366015121
Random Forest,l22,0.001721964617764419
Random Forest,hd2,0.00020507084460406403
Random Forest,lcc,-0.00016592542598782497
Random Forest,bc,0.004088033606336855
Random Forest,dc,0.0016351169402146106
Random Forest,ndc,0.0006180592274770205
Random Forest,cc,0.0003683897624545261
Random Forest,ec,0.0006052864006705668
Random Forest,eccen,0.00011395025316368879
Random Forest,core,0.00040568641192428173
Random Forest,emb_node2vec_0,-0.00013622796698521748
Random Forest,emb_node2vec_1,0.00021340008498517554
Random Forest,emb_node2vec_2,0.0003652565487745646
Random Forest,emb_node2vec_3,4.8842616210681423e-05
Random Forest,emb_node2vec_4,-0.0002444637814587716
Random Forest,emb_node2vec_5,0.00032911673093146895
Random Forest,emb_node2vec_6,8.516435504750397e-06
Random Forest,emb_node2vec_7,-0.0009217682639897293
Random Forest,emb_node2vec_8,0.0012314581526669428
Random Forest,emb_node2vec_9,0.0004864753294838764
Random Forest,emb_node2vec_10,0.0005248748636277536
Random Forest,emb_node2vec_11,0.0007910830546372413
Random Forest,emb_node2vec_12,5.973371128351612e-05
Random Forest,emb_node2vec_13,-0.0006005288772393882
Random Forest,emb_node2vec_14,0.00010393427092171074
Random Forest,emb_node2vec_15,0.022366202532044206
Random Forest,emb_struc2vec_1,0.003217725405045886
Random Forest,emb_struc2vec_2,0.0001031736412989627
Random Forest,emb_struc2vec_3,0.00011030041493445484
Random Forest,emb_struc2vec_4,0.006507178082128705
Random Forest,emb_struc2vec_5,-2.9310157112154984e-05
Random Forest,emb_struc2vec_6,0.001538779454073129
Random Forest,emb_struc2vec_7,-0.0009890354730039664
Random Forest,emb_struc2vec_8,-0.000874080637293613
Random Forest,emb_struc2vec_9,-0.000997629543022762
Random Forest,emb_struc2vec_10,-0.0004776249685825212
Random Forest,emb_struc2vec_11,4.6200336120668514e-05
Random Forest,emb_struc2vec_12,0.0005233838122577162
Random Forest,emb_struc2vec_13,-0.0002582414761307765
Random Forest,emb_struc2vec_14,-0.00019402197615966745
Random Forest,emb_struc2vec_15,-0.0008852217620625672
Random Forest,emb_struc2vec_16,-3.0172148554066803e-06
