target,model_name,measure,value
cada,linear_model,r2_score,0.21675836427148654
cada,linear_model,spearmans,0.518017180962705
cada,linear_model,kendall,0.4013389925028107
cada,ridge,r2_score,0.20537629867734508
cada,ridge,spearmans,0.496566824637251
cada,ridge,kendall,0.38465061663362987
cada,random_forest,r2_score,0.2974211013207181
cada,random_forest,spearmans,0.5886908750680299
cada,random_forest,kendall,0.46979623600480963
cada,xgboost,r2_score,0.27889918416713444
cada,xgboost,spearmans,0.5830430695364118
cada,xgboost,kendall,0.46518683263831656
cada,lightgbm,r2_score,0.36030645453817245
cada,lightgbm,spearmans,0.6140698923489354
cada,lightgbm,kendall,0.48944255565601014
edge_contr,linear_model,r2_score,0.2659948985669699
edge_contr,linear_model,spearmans,0.5342250377920215
edge_contr,linear_model,kendall,0.41364464893289127
edge_contr,ridge,r2_score,0.24536235867536504
edge_contr,ridge,spearmans,0.5146325438945756
edge_contr,ridge,kendall,0.3983741998364304
edge_contr,random_forest,r2_score,0.40794601969907474
edge_contr,random_forest,spearmans,0.6123104973262165
edge_contr,random_forest,kendall,0.4878191412009038
edge_contr,xgboost,r2_score,0.3769257721233773
edge_contr,xgboost,spearmans,0.60480271809704
edge_contr,xgboost,kendall,0.4803456016036
edge_contr,lightgbm,r2_score,0.45872198305580036
edge_contr,lightgbm,spearmans,0.6389902639884356
edge_contr,lightgbm,kendall,0.509362827884883
in_mod_deg,linear_model,r2_score,0.8697917781436437
in_mod_deg,linear_model,spearmans,0.9215681281202803
in_mod_deg,linear_model,kendall,0.7648032203050283
in_mod_deg,ridge,r2_score,0.8697289257906822
in_mod_deg,ridge,spearmans,0.9124697076253634
in_mod_deg,ridge,kendall,0.7517065994924451
in_mod_deg,random_forest,r2_score,0.9328517059176056
in_mod_deg,random_forest,spearmans,0.9505366150674048
in_mod_deg,random_forest,kendall,0.8314593855500777
in_mod_deg,xgboost,r2_score,0.9227119694028433
in_mod_deg,xgboost,spearmans,0.9596227345594799
in_mod_deg,xgboost,kendall,0.8487485854500488
in_mod_deg,lightgbm,r2_score,0.9099509374657345
