features,model_name,measure,value
participation,log_reg,roc_auc_score,0.578
participation,log_reg,average_precision_score,0.249
participation,log_reg,average_precision_score_0.01,0.206
participation,log_reg,average_precision_score_0.05,0.206
participation,log_reg,average_precision_score_0.1,0.206
participation,random_forest,roc_auc_score,0.56
participation,random_forest,average_precision_score,0.26
participation,random_forest,average_precision_score_0.01,0.208
participation,random_forest,average_precision_score_0.05,0.208
participation,random_forest,average_precision_score_0.1,0.208
participation,lightgbm,roc_auc_score,0.567
participation,lightgbm,average_precision_score,0.26
participation,lightgbm,average_precision_score_0.01,0.206
participation,lightgbm,average_precision_score_0.05,0.206
participation,lightgbm,average_precision_score_0.1,0.208
participation,xgboost,roc_auc_score,0.573
participation,xgboost,average_precision_score,0.258
participation,xgboost,average_precision_score_0.01,0.206
participation,xgboost,average_precision_score_0.05,0.206
participation,xgboost,average_precision_score_0.1,0.206
in_mod_deg,log_reg,roc_auc_score,0.521
in_mod_deg,log_reg,average_precision_score,0.221
in_mod_deg,log_reg,average_precision_score_0.01,0.206
in_mod_deg,log_reg,average_precision_score_0.05,0.206
in_mod_deg,log_reg,average_precision_score_0.1,0.206
in_mod_deg,random_forest,roc_auc_score,0.835
in_mod_deg,random_forest,average_precision_score,0.605
in_mod_deg,random_forest,average_precision_score_0.01,0.229
in_mod_deg,random_forest,average_precision_score_0.05,0.28
in_mod_deg,random_forest,average_precision_score_0.1,0.31
in_mod_deg,lightgbm,roc_auc_score,0.909
in_mod_deg,lightgbm,average_precision_score,0.776
in_mod_deg,lightgbm,average_precision_score_0.01,0.206
in_mod_deg,lightgbm,average_precision_score_0.05,0.206
in_mod_deg,lightgbm,average_precision_score_0.1,0.329
in_mod_deg,xgboost,roc_auc_score,0.933
in_mod_deg,xgboost,average_precision_score,0.83
in_mod_deg,xgboost,average_precision_score_0.01,0.211
in_mod_deg,xgboost,average_precision_score_0.05,0.348
in_mod_deg,xgboost,average_precision_score_0.1,0.503
beta_star,log_reg,roc_auc_score,0.537
beta_star,log_reg,average_precision_score,0.253
beta_star,log_reg,average_precision_score_0.01,0.206
beta_star,log_reg,average_precision_score_0.05,0.206
beta_star,log_reg,average_precision_score_0.1,0.206
beta_star,random_forest,roc_auc_score,0.927
beta_star,random_forest,average_precision_score,0.787
beta_star,random_forest,average_precision_score_0.01,0.314
beta_star,random_forest,average_precision_score_0.05,0.397
beta_star,random_forest,average_precision_score_0.1,0.463
beta_star,lightgbm,roc_auc_score,0.915
beta_star,lightgbm,average_precision_score,0.758
beta_star,lightgbm,average_precision_score_0.01,0.29
beta_star,lightgbm,average_precision_score_0.05,0.389
beta_star,lightgbm,average_precision_score_0.1,0.425
beta_star,xgboost,roc_auc_score,0.925
beta_star,xgboost,average_precision_score,0.782
beta_star,xgboost,average_precision_score_0.01,0.295
beta_star,xgboost,average_precision_score_0.05,0.392
beta_star,xgboost,average_precision_score_0.1,0.478
edge_contr,log_reg,roc_auc_score,0.579
edge_contr,log_reg,average_precision_score,0.25
edge_contr,log_reg,average_precision_score_0.01,0.206
edge_contr,log_reg,average_precision_score_0.05,0.206
edge_contr,log_reg,average_precision_score_0.1,0.206
edge_contr,random_forest,roc_auc_score,0.549
