model_name,variable,value
Random Forest,participation,0.0005374127082274027
Random Forest,in_mod_deg,0.0022465034528977635
Random Forest,beta_star,-0.00042225101122747024
Random Forest,edge_contr,0.0010771912587078437
Random Forest,cada,0.0003294835412095298
Random Forest,kl,0.001132506584166515
Random Forest,l1,-0.002651421965671352
Random Forest,l2,-0.0009994601506960298
Random Forest,hd,-0.0021626843625054846
Random Forest,kl2,-0.0018830744293215408
Random Forest,l12,0.0023810718299203115
Random Forest,l22,0.00043798943441417657
Random Forest,hd2,-0.0024981991011405968
Random Forest,lcc,0.00022724377624262494
Random Forest,bc,-0.0006076394143131991
Random Forest,dc,0.0011072321836702482
Random Forest,ndc,-0.0019654730572513657
Random Forest,cc,-0.0017007107597340697
Random Forest,ec,-0.0003037839810821286
Random Forest,eccen,-0.0017246185201297726
Random Forest,core,0.0013407615406894392
Random Forest,emb_node2vec_0,-0.0019334548224805958
Random Forest,emb_node2vec_1,0.0005135265703930525
Random Forest,emb_node2vec_2,0.0011824501440188206
Random Forest,emb_node2vec_3,0.0025153565870512985
Random Forest,emb_node2vec_4,-0.002232639618892662
Random Forest,emb_node2vec_5,0.0018752590071402287
Random Forest,emb_node2vec_6,0.0023761114521187233
Random Forest,emb_node2vec_7,0.00033099571089303394
Random Forest,emb_node2vec_8,0.10673834989646358
Random Forest,emb_node2vec_9,0.010556621585702409
Random Forest,emb_node2vec_10,0.0003917062576870078
Random Forest,emb_node2vec_11,-0.0011485821847970312
Random Forest,emb_node2vec_12,0.006081984029746834
Random Forest,emb_node2vec_13,-0.002696316872230331
Random Forest,emb_node2vec_14,0.005252631293885546
Random Forest,emb_node2vec_15,-0.0002708737068562561
Random Forest,emb_struc2vec_1,-0.0019456501806525473
Random Forest,emb_struc2vec_2,-0.0009543186953896554
Random Forest,emb_struc2vec_3,-0.00011283106694296441
Random Forest,emb_struc2vec_4,-0.0009408093321006672
Random Forest,emb_struc2vec_5,-0.0009878502064298521
Random Forest,emb_struc2vec_6,-0.0019057346268712804
Random Forest,emb_struc2vec_7,-0.0014186589410522532
Random Forest,emb_struc2vec_8,-0.0013659873453150007
Random Forest,emb_struc2vec_9,-6.724483774588342e-05
Random Forest,emb_struc2vec_10,0.00030877165044117526
Random Forest,emb_struc2vec_11,-0.0009771940356242737
Random Forest,emb_struc2vec_12,-0.00119444573183084
Random Forest,emb_struc2vec_13,-0.0010418042655647385
Random Forest,emb_struc2vec_14,-0.0008056671856420782
Random Forest,emb_struc2vec_15,-0.0015159256882216533
Random Forest,emb_struc2vec_16,-0.001492963455251539
