target,model_name,measure,value
cada,linear_model,r2_score,0.282735159930128
cada,linear_model,spearmans,0.4018963877851452
cada,linear_model,kendall,0.28873247099483385
cada,ridge,r2_score,0.27245584050096927
cada,ridge,spearmans,0.39535607285569146
cada,ridge,kendall,0.2834687912027266
cada,random_forest,r2_score,0.3400997408772517
cada,random_forest,spearmans,0.3762451952414481
cada,random_forest,kendall,0.27458786008333536
cada,xgboost,r2_score,0.33561613674626256
cada,xgboost,spearmans,0.4276545667523711
cada,xgboost,kendall,0.31457004639585606
cada,lightgbm,r2_score,0.3786330528070846
cada,lightgbm,spearmans,0.41514252382262773
cada,lightgbm,kendall,0.2999570708846391
edge_contr,linear_model,r2_score,0.32669192419882453
edge_contr,linear_model,spearmans,0.4102731279264798
edge_contr,linear_model,kendall,0.2950318221941896
edge_contr,ridge,r2_score,0.31830331729103156
edge_contr,ridge,spearmans,0.4049007809175519
edge_contr,ridge,kendall,0.29064406462596437
edge_contr,random_forest,r2_score,0.3849863184874385
edge_contr,random_forest,spearmans,0.45932710655949294
edge_contr,random_forest,kendall,0.3401045069417172
edge_contr,xgboost,r2_score,0.3616088156650811
edge_contr,xgboost,spearmans,0.45558175655361743
edge_contr,xgboost,kendall,0.3381031580700856
edge_contr,lightgbm,r2_score,0.4056668170800184
edge_contr,lightgbm,spearmans,0.4868493752237645
edge_contr,lightgbm,kendall,0.36005729114695717
in_mod_deg,linear_model,r2_score,0.9094285435908163
in_mod_deg,linear_model,spearmans,0.770225775900935
in_mod_deg,linear_model,kendall,0.6011501225731044
in_mod_deg,ridge,r2_score,0.8260852720675054
in_mod_deg,ridge,spearmans,0.7498020804071376
in_mod_deg,ridge,kendall,0.5760351739068968
in_mod_deg,random_forest,r2_score,0.9412329718122262
in_mod_deg,random_forest,spearmans,0.8802263791693263
in_mod_deg,random_forest,kendall,0.7327172374130965
in_mod_deg,xgboost,r2_score,0.9455319349221263
in_mod_deg,xgboost,spearmans,0.9039567000604853
in_mod_deg,xgboost,kendall,0.7633466493384939
in_mod_deg,lightgbm,r2_score,0.9124603833961289
in_mod_deg,lightgbm,spearmans,0.8757798421704792
in_mod_deg,lightgbm,kendall,0.726669472279423
participation,linear_model,r2_score,0.30587052248197866
participation,linear_model,spearmans,0.4142971938909855
participation,linear_model,kendall,0.2958025289296108
participation,ridge,r2_score,0.29882616764633807
participation,ridge,spearmans,0.40842990275724855
participation,ridge,kendall,0.29113501365227257
participation,random_forest,r2_score,0.3659775184687315
participation,random_forest,spearmans,0.44985513623615786
participation,random_forest,kendall,0.3250015832006676
participation,xgboost,r2_score,0.35530437543463367
participation,xgboost,spearmans,0.4507884145329095
participation,xgboost,kendall,0.32884566029420387
participation,lightgbm,r2_score,0.3846319623476464
participation,lightgbm,spearmans,0.4867807165447335
participation,lightgbm,kendall,0.3534550367281823
beta_star,linear_model,r2_score,0.43347216847847336
beta_star,linear_model,spearmans,0.582476718258782
beta_star,linear_model,kendall,0.4205749992672412
beta_star,ridge,r2_score,0.4258550743192324
beta_star,ridge,spearmans,0.579855741828856
beta_star,ridge,kendall,0.4181989548629812
beta_star,random_forest,r2_score,0.43183595244419526
beta_star,random_forest,spearmans,0.5489320263667733
beta_star,random_forest,kendall,0.3966845318052176
beta_star,xgboost,r2_score,0.4138887741277726
beta_star,xgboost,spearmans,0.5330033356673992
beta_star,xgboost,kendall,0.3845351773289499
beta_star,lightgbm,r2_score,0.4551956527489318
beta_star,lightgbm,spearmans,0.5634481790894261
beta_star,lightgbm,kendall,0.4075276834709102
l1,linear_model,r2_score,0.6431745477851276
l1,linear_model,spearmans,0.7897219576067821
l1,linear_model,kendall,0.5949600880031314
l1,ridge,r2_score,0.6353709119268911
l1,ridge,spearmans,0.7893579381467057
l1,ridge,kendall,0.5942053579718057
l1,random_forest,r2_score,0.6243936087345993
l1,random_forest,spearmans,0.7315866048303368
l1,random_forest,kendall,0.5412523960096557
l1,xgboost,r2_score,0.6345175515762347
l1,xgboost,spearmans,0.746682594516163
l1,xgboost,kendall,0.5539709774253633
l1,lightgbm,r2_score,0.6496238435918325
l1,lightgbm,spearmans,0.7648466894635849
l1,lightgbm,kendall,0.5700762341535693
l2,linear_model,r2_score,0.4691059636179489
l2,linear_model,spearmans,0.6243101086896135
l2,linear_model,kendall,0.4537386093210911
l2,ridge,r2_score,0.4604258320554434
l2,ridge,spearmans,0.6230745596411621
l2,ridge,kendall,0.4522246540840479
l2,random_forest,r2_score,0.4720732270265877
l2,random_forest,spearmans,0.5728837996877719
l2,random_forest,kendall,0.4142334924895819
l2,xgboost,r2_score,0.45616146766780374
l2,xgboost,spearmans,0.5618377601147497
l2,xgboost,kendall,0.4065946219843189
l2,lightgbm,r2_score,0.49122778258108657
l2,lightgbm,spearmans,0.599746468877226
l2,lightgbm,kendall,0.4354484294000898
kl,linear_model,r2_score,0.76102914673548
kl,linear_model,spearmans,0.8811909510228871
kl,linear_model,kendall,0.6984701771234224
kl,ridge,r2_score,0.7554423212053734
kl,ridge,spearmans,0.8765281118156901
kl,ridge,kendall,0.6933912137458256
kl,random_forest,r2_score,0.72701969690554
kl,random_forest,spearmans,0.8508123677101631
kl,random_forest,kendall,0.6642126291660488
kl,xgboost,r2_score,0.7484058662615949
kl,xgboost,spearmans,0.8598736686946081
kl,xgboost,kendall,0.6765339591666245
kl,lightgbm,r2_score,0.7677518388017709
kl,lightgbm,spearmans,0.8693722705109159
kl,lightgbm,kendall,0.684678766281586
hd,linear_model,r2_score,0.7513239748821718
hd,linear_model,spearmans,0.8657582040696703
hd,linear_model,kendall,0.6806975846232649
hd,ridge,r2_score,0.7483114560624115
hd,ridge,spearmans,0.866613340998484
hd,ridge,kendall,0.6816899899685154
hd,random_forest,r2_score,0.716905126203222
hd,random_forest,spearmans,0.8056262594136653
hd,random_forest,kendall,0.6142002017267735
hd,xgboost,r2_score,0.7387805386513397
hd,xgboost,spearmans,0.8247781306902844
hd,xgboost,kendall,0.6331694236807198
hd,lightgbm,r2_score,0.7481670074536335
hd,lightgbm,spearmans,0.8379350102069818
hd,lightgbm,kendall,0.6468410893636584
l12,linear_model,r2_score,0.6105770274074152
l12,linear_model,spearmans,0.7698724619858291
l12,linear_model,kendall,0.5761529398688451
l12,ridge,r2_score,0.5189204998403478
l12,ridge,spearmans,0.75512011145779
l12,ridge,kendall,0.5611012559742136
l12,random_forest,r2_score,0.7433138699421548
l12,random_forest,spearmans,0.8218061735340193
l12,random_forest,kendall,0.6356514393686785
l12,xgboost,r2_score,0.7496347204425715
l12,xgboost,spearmans,0.8266358887906439
l12,xgboost,kendall,0.6410354477166459
l12,lightgbm,r2_score,0.7553287496480023
l12,lightgbm,spearmans,0.8373198241466471
l12,lightgbm,kendall,0.6497383572301878
l22,linear_model,r2_score,0.5327858487452066
l22,linear_model,spearmans,0.6879169444352159
l22,linear_model,kendall,0.5003796821162609
l22,ridge,r2_score,0.465433861459862
l22,ridge,spearmans,0.6659841246649026
l22,ridge,kendall,0.4811070356785595
l22,random_forest,r2_score,0.6977185107012531
l22,random_forest,spearmans,0.8013241757026861
l22,random_forest,kendall,0.6090634655996443
l22,xgboost,r2_score,0.7108417361516433
l22,xgboost,spearmans,0.8124657818295311
l22,xgboost,kendall,0.6201280426808936
l22,lightgbm,r2_score,0.7111529092640356
l22,lightgbm,spearmans,0.8146232602914733
l22,lightgbm,kendall,0.6222905412915416
kl2,linear_model,r2_score,0.769257239763918
kl2,linear_model,spearmans,0.8741619215735467
kl2,linear_model,kendall,0.6945661887295765
kl2,ridge,r2_score,0.7244439499191746
kl2,ridge,spearmans,0.8513922772658086
kl2,ridge,kendall,0.6671792819828832
kl2,random_forest,r2_score,0.8185969444741708
kl2,random_forest,spearmans,0.896909389878821
kl2,random_forest,kendall,0.730379904412582
kl2,xgboost,r2_score,0.8267848973450838
kl2,xgboost,spearmans,0.9030337958926439
kl2,xgboost,kendall,0.737781927309103
kl2,lightgbm,r2_score,0.8180707422004513
kl2,lightgbm,spearmans,0.8988092083121342
kl2,lightgbm,kendall,0.7277363565632989
hd2,linear_model,r2_score,0.7828616008485436
hd2,linear_model,spearmans,0.8960980244553359
hd2,linear_model,kendall,0.7219753251083694
hd2,ridge,r2_score,0.6869291623987848
hd2,ridge,spearmans,0.8669070923230101
hd2,ridge,kendall,0.6836643325552961
hd2,random_forest,r2_score,0.8352485654735726
hd2,random_forest,spearmans,0.9087110871901207
hd2,random_forest,kendall,0.74713837945982
hd2,xgboost,r2_score,0.8316816262177686
hd2,xgboost,spearmans,0.9101925620213956
hd2,xgboost,kendall,0.7471285984216961
