features,model_name,measure,value
participation,log_reg,roc_auc_score,0.993
participation,log_reg,average_precision_score,0.969
participation,log_reg,average_precision_score_0.01,0.136
participation,log_reg,average_precision_score_0.05,0.193
participation,log_reg,average_precision_score_0.1,0.247
participation,random_forest,roc_auc_score,0.995
participation,random_forest,average_precision_score,0.969
participation,random_forest,average_precision_score_0.01,0.324
participation,random_forest,average_precision_score_0.05,0.884
participation,random_forest,average_precision_score_0.1,0.884
participation,lightgbm,roc_auc_score,0.995
participation,lightgbm,average_precision_score,0.971
participation,lightgbm,average_precision_score_0.01,0.1
participation,lightgbm,average_precision_score_0.05,0.1
participation,lightgbm,average_precision_score_0.1,0.873
participation,xgboost,roc_auc_score,0.995
participation,xgboost,average_precision_score,0.969
participation,xgboost,average_precision_score_0.01,0.308
participation,xgboost,average_precision_score_0.05,0.884
participation,xgboost,average_precision_score_0.1,0.884
in_mod_deg,log_reg,roc_auc_score,0.826
in_mod_deg,log_reg,average_precision_score,0.477
in_mod_deg,log_reg,average_precision_score_0.01,0.104
in_mod_deg,log_reg,average_precision_score_0.05,0.107
in_mod_deg,log_reg,average_precision_score_0.1,0.11
in_mod_deg,random_forest,roc_auc_score,0.922
in_mod_deg,random_forest,average_precision_score,0.799
in_mod_deg,random_forest,average_precision_score_0.01,0.147
in_mod_deg,random_forest,average_precision_score_0.05,0.366
in_mod_deg,random_forest,average_precision_score_0.1,0.38
in_mod_deg,lightgbm,roc_auc_score,0.904
in_mod_deg,lightgbm,average_precision_score,0.739
in_mod_deg,lightgbm,average_precision_score_0.01,0.136
in_mod_deg,lightgbm,average_precision_score_0.05,0.247
in_mod_deg,lightgbm,average_precision_score_0.1,0.322
in_mod_deg,xgboost,roc_auc_score,0.909
in_mod_deg,xgboost,average_precision_score,0.788
in_mod_deg,xgboost,average_precision_score_0.01,0.134
in_mod_deg,xgboost,average_precision_score_0.05,0.308
in_mod_deg,xgboost,average_precision_score_0.1,0.384
beta_star,log_reg,roc_auc_score,0.996
beta_star,log_reg,average_precision_score,0.979
beta_star,log_reg,average_precision_score_0.01,0.125
beta_star,log_reg,average_precision_score_0.05,0.236
beta_star,log_reg,average_precision_score_0.1,0.334
beta_star,random_forest,roc_auc_score,0.995
beta_star,random_forest,average_precision_score,0.982
beta_star,random_forest,average_precision_score_0.01,0.47
beta_star,random_forest,average_precision_score_0.05,0.763
beta_star,random_forest,average_precision_score_0.1,0.882
beta_star,lightgbm,roc_auc_score,0.993
beta_star,lightgbm,average_precision_score,0.979
beta_star,lightgbm,average_precision_score_0.01,0.1
beta_star,lightgbm,average_precision_score_0.05,0.1
beta_star,lightgbm,average_precision_score_0.1,0.811
beta_star,xgboost,roc_auc_score,0.997
beta_star,xgboost,average_precision_score,0.983
beta_star,xgboost,average_precision_score_0.01,0.442
beta_star,xgboost,average_precision_score_0.05,0.761
beta_star,xgboost,average_precision_score_0.1,0.841
edge_contr,log_reg,roc_auc_score,0.994
edge_contr,log_reg,average_precision_score,0.97
edge_contr,log_reg,average_precision_score_0.01,0.131
edge_contr,log_reg,average_precision_score_0.05,0.205
edge_contr,log_reg,average_precision_score_0.1,0.254
edge_contr,random_forest,roc_auc_score,0.995
edge_contr,random_forest,average_precision_score,0.971
edge_contr,random_forest,average_precision_score_0.01,0.467
edge_contr,random_forest,average_precision_score_0.05,0.873
edge_contr,random_forest,average_precision_score_0.1,0.873
edge_contr,lightgbm,roc_auc_score,0.994
edge_contr,lightgbm,average_precision_score,0.967
edge_contr,lightgbm,average_precision_score_0.01,0.1
edge_contr,lightgbm,average_precision_score_0.05,0.1
edge_contr,lightgbm,average_precision_score_0.1,0.873
edge_contr,xgboost,roc_auc_score,0.995
edge_contr,xgboost,average_precision_score,0.97
edge_contr,xgboost,average_precision_score_0.01,0.467
edge_contr,xgboost,average_precision_score_0.05,0.873
edge_contr,xgboost,average_precision_score_0.1,0.873
cada,log_reg,roc_auc_score,0.994
cada,log_reg,average_precision_score,0.97
cada,log_reg,average_precision_score_0.01,0.136
cada,log_reg,average_precision_score_0.05,0.253
cada,log_reg,average_precision_score_0.1,0.414
cada,random_forest,roc_auc_score,0.995
cada,random_forest,average_precision_score,0.971
cada,random_forest,average_precision_score_0.01,0.467
cada,random_forest,average_precision_score_0.05,0.873
cada,random_forest,average_precision_score_0.1,0.873
cada,lightgbm,roc_auc_score,0.994
cada,lightgbm,average_precision_score,0.967
cada,lightgbm,average_precision_score_0.01,0.1
cada,lightgbm,average_precision_score_0.05,0.467
cada,lightgbm,average_precision_score_0.1,0.873
cada,xgboost,roc_auc_score,0.995
cada,xgboost,average_precision_score,0.97
cada,xgboost,average_precision_score_0.01,0.467
cada,xgboost,average_precision_score_0.05,0.873
cada,xgboost,average_precision_score_0.1,0.873
kl,log_reg,roc_auc_score,0.887
kl,log_reg,average_precision_score,0.606
kl,log_reg,average_precision_score_0.01,0.116
kl,log_reg,average_precision_score_0.05,0.14
kl,log_reg,average_precision_score_0.1,0.154
kl,random_forest,roc_auc_score,0.876
kl,random_forest,average_precision_score,0.592
kl,random_forest,average_precision_score_0.01,0.156
kl,random_forest,average_precision_score_0.05,0.208
kl,random_forest,average_precision_score_0.1,0.272
kl,lightgbm,roc_auc_score,0.87
kl,lightgbm,average_precision_score,0.577
kl,lightgbm,average_precision_score_0.01,0.1
kl,lightgbm,average_precision_score_0.05,0.187
kl,lightgbm,average_precision_score_0.1,0.258
kl,xgboost,roc_auc_score,0.877
kl,xgboost,average_precision_score,0.584
kl,xgboost,average_precision_score_0.01,0.1
kl,xgboost,average_precision_score_0.05,0.1
kl,xgboost,average_precision_score_0.1,0.207
l1,log_reg,roc_auc_score,0.861
l1,log_reg,average_precision_score,0.621
l1,log_reg,average_precision_score_0.01,0.1
l1,log_reg,average_precision_score_0.05,0.105
l1,log_reg,average_precision_score_0.1,0.125
l1,random_forest,roc_auc_score,0.861
l1,random_forest,average_precision_score,0.609
l1,random_forest,average_precision_score_0.01,0.128
l1,random_forest,average_precision_score_0.05,0.203
l1,random_forest,average_precision_score_0.1,0.282
l1,lightgbm,roc_auc_score,0.855
l1,lightgbm,average_precision_score,0.59
l1,lightgbm,average_precision_score_0.01,0.1
l1,lightgbm,average_precision_score_0.05,0.1
l1,lightgbm,average_precision_score_0.1,0.265
l1,xgboost,roc_auc_score,0.857
l1,xgboost,average_precision_score,0.593
l1,xgboost,average_precision_score_0.01,0.1
l1,xgboost,average_precision_score_0.05,0.1
l1,xgboost,average_precision_score_0.1,0.21
l2,log_reg,roc_auc_score,0.992
l2,log_reg,average_precision_score,0.969
l2,log_reg,average_precision_score_0.01,0.121
l2,log_reg,average_precision_score_0.05,0.194
l2,log_reg,average_precision_score_0.1,0.287
l2,random_forest,roc_auc_score,0.991
l2,random_forest,average_precision_score,0.962
l2,random_forest,average_precision_score_0.01,0.533
l2,random_forest,average_precision_score_0.05,0.745
l2,random_forest,average_precision_score_0.1,0.782
l2,lightgbm,roc_auc_score,0.969
l2,lightgbm,average_precision_score,0.951
l2,lightgbm,average_precision_score_0.01,0.1
l2,lightgbm,average_precision_score_0.05,0.1
l2,lightgbm,average_precision_score_0.1,0.818
l2,xgboost,roc_auc_score,0.99
l2,xgboost,average_precision_score,0.959
l2,xgboost,average_precision_score_0.01,0.355
l2,xgboost,average_precision_score_0.05,0.712
l2,xgboost,average_precision_score_0.1,0.772
hd,log_reg,roc_auc_score,0.871
hd,log_reg,average_precision_score,0.545
hd,log_reg,average_precision_score_0.01,0.1
hd,log_reg,average_precision_score_0.05,0.103
hd,log_reg,average_precision_score_0.1,0.118
hd,random_forest,roc_auc_score,0.861
hd,random_forest,average_precision_score,0.513
hd,random_forest,average_precision_score_0.01,0.142
hd,random_forest,average_precision_score_0.05,0.191
hd,random_forest,average_precision_score_0.1,0.257
hd,lightgbm,roc_auc_score,0.87
hd,lightgbm,average_precision_score,0.531
hd,lightgbm,average_precision_score_0.01,0.1
hd,lightgbm,average_precision_score_0.05,0.145
hd,lightgbm,average_precision_score_0.1,0.263
hd,xgboost,roc_auc_score,0.862
hd,xgboost,average_precision_score,0.511
hd,xgboost,average_precision_score_0.01,0.132
hd,xgboost,average_precision_score_0.05,0.188
hd,xgboost,average_precision_score_0.1,0.26
kl2,log_reg,roc_auc_score,0.807
kl2,log_reg,average_precision_score,0.393
kl2,log_reg,average_precision_score_0.01,0.101
kl2,log_reg,average_precision_score_0.05,0.111
kl2,log_reg,average_precision_score_0.1,0.12
kl2,random_forest,roc_auc_score,0.781
kl2,random_forest,average_precision_score,0.355
kl2,random_forest,average_precision_score_0.01,0.116
kl2,random_forest,average_precision_score_0.05,0.164
kl2,random_forest,average_precision_score_0.1,0.181
kl2,lightgbm,roc_auc_score,0.799
kl2,lightgbm,average_precision_score,0.374
kl2,lightgbm,average_precision_score_0.01,0.1
kl2,lightgbm,average_precision_score_0.05,0.1
kl2,lightgbm,average_precision_score_0.1,0.199
kl2,xgboost,roc_auc_score,0.799
kl2,xgboost,average_precision_score,0.373
kl2,xgboost,average_precision_score_0.01,0.1
kl2,xgboost,average_precision_score_0.05,0.1
kl2,xgboost,average_precision_score_0.1,0.1
l12,log_reg,roc_auc_score,0.822
l12,log_reg,average_precision_score,0.369
l12,log_reg,average_precision_score_0.01,0.1
l12,log_reg,average_precision_score_0.05,0.1
l12,log_reg,average_precision_score_0.1,0.1
l12,random_forest,roc_auc_score,0.793
l12,random_forest,average_precision_score,0.302
l12,random_forest,average_precision_score_0.01,0.129
l12,random_forest,average_precision_score_0.05,0.182
l12,random_forest,average_precision_score_0.1,0.188
l12,lightgbm,roc_auc_score,0.807
l12,lightgbm,average_precision_score,0.34
l12,lightgbm,average_precision_score_0.01,0.1
l12,lightgbm,average_precision_score_0.05,0.1
l12,lightgbm,average_precision_score_0.1,0.202
l12,xgboost,roc_auc_score,0.809
l12,xgboost,average_precision_score,0.312
l12,xgboost,average_precision_score_0.01,0.1
l12,xgboost,average_precision_score_0.05,0.1
l12,xgboost,average_precision_score_0.1,0.1
l22,log_reg,roc_auc_score,0.871
l22,log_reg,average_precision_score,0.481
l22,log_reg,average_precision_score_0.01,0.1
l22,log_reg,average_precision_score_0.05,0.103
l22,log_reg,average_precision_score_0.1,0.133
l22,random_forest,roc_auc_score,0.852
l22,random_forest,average_precision_score,0.407
l22,random_forest,average_precision_score_0.01,0.158
l22,random_forest,average_precision_score_0.05,0.204
l22,random_forest,average_precision_score_0.1,0.243
l22,lightgbm,roc_auc_score,0.865
l22,lightgbm,average_precision_score,0.451
l22,lightgbm,average_precision_score_0.01,0.1
l22,lightgbm,average_precision_score_0.05,0.165
l22,lightgbm,average_precision_score_0.1,0.254
l22,xgboost,roc_auc_score,0.86
l22,xgboost,average_precision_score,0.425
l22,xgboost,average_precision_score_0.01,0.1
l22,xgboost,average_precision_score_0.05,0.1
l22,xgboost,average_precision_score_0.1,0.188
hd2,log_reg,roc_auc_score,0.777
hd2,log_reg,average_precision_score,0.367
hd2,log_reg,average_precision_score_0.01,0.1
hd2,log_reg,average_precision_score_0.05,0.1
hd2,log_reg,average_precision_score_0.1,0.101
hd2,random_forest,roc_auc_score,0.759
hd2,random_forest,average_precision_score,0.315
hd2,random_forest,average_precision_score_0.01,0.103
hd2,random_forest,average_precision_score_0.05,0.162
hd2,random_forest,average_precision_score_0.1,0.179
hd2,lightgbm,roc_auc_score,0.754
hd2,lightgbm,average_precision_score,0.338
hd2,lightgbm,average_precision_score_0.01,0.1
hd2,lightgbm,average_precision_score_0.05,0.1
hd2,lightgbm,average_precision_score_0.1,0.169
hd2,xgboost,roc_auc_score,0.769
hd2,xgboost,average_precision_score,0.315
hd2,xgboost,average_precision_score_0.01,0.1
hd2,xgboost,average_precision_score_0.05,0.1
hd2,xgboost,average_precision_score_0.1,0.1
lcc,log_reg,roc_auc_score,0.812
lcc,log_reg,average_precision_score,0.24
lcc,log_reg,average_precision_score_0.01,0.105
lcc,log_reg,average_precision_score_0.05,0.116
lcc,log_reg,average_precision_score_0.1,0.132
lcc,random_forest,roc_auc_score,0.823
lcc,random_forest,average_precision_score,0.276
lcc,random_forest,average_precision_score_0.01,0.148
lcc,random_forest,average_precision_score_0.05,0.19
lcc,random_forest,average_precision_score_0.1,0.214
lcc,lightgbm,roc_auc_score,0.828
lcc,lightgbm,average_precision_score,0.284
lcc,lightgbm,average_precision_score_0.01,0.1
lcc,lightgbm,average_precision_score_0.05,0.1
lcc,lightgbm,average_precision_score_0.1,0.225
lcc,xgboost,roc_auc_score,0.822
lcc,xgboost,average_precision_score,0.279
lcc,xgboost,average_precision_score_0.01,0.131
lcc,xgboost,average_precision_score_0.05,0.189
lcc,xgboost,average_precision_score_0.1,0.213
bc,log_reg,roc_auc_score,0.603
bc,log_reg,average_precision_score,0.134
bc,log_reg,average_precision_score_0.01,0.1
bc,log_reg,average_precision_score_0.05,0.1
bc,log_reg,average_precision_score_0.1,0.1
bc,random_forest,roc_auc_score,0.598
bc,random_forest,average_precision_score,0.137
bc,random_forest,average_precision_score_0.01,0.1
bc,random_forest,average_precision_score_0.05,0.101
bc,random_forest,average_precision_score_0.1,0.113
bc,lightgbm,roc_auc_score,0.586
bc,lightgbm,average_precision_score,0.132
bc,lightgbm,average_precision_score_0.01,0.1
bc,lightgbm,average_precision_score_0.05,0.1
bc,lightgbm,average_precision_score_0.1,0.114
bc,xgboost,roc_auc_score,0.586
bc,xgboost,average_precision_score,0.126
bc,xgboost,average_precision_score_0.01,0.1
bc,xgboost,average_precision_score_0.05,0.106
bc,xgboost,average_precision_score_0.1,0.112
dc,log_reg,roc_auc_score,0.503
dc,log_reg,average_precision_score,0.102
dc,log_reg,average_precision_score_0.01,0.1
dc,log_reg,average_precision_score_0.05,0.1
dc,log_reg,average_precision_score_0.1,0.1
dc,random_forest,roc_auc_score,0.479
dc,random_forest,average_precision_score,0.095
dc,random_forest,average_precision_score_0.01,0.1
dc,random_forest,average_precision_score_0.05,0.099
dc,random_forest,average_precision_score_0.1,0.096
dc,lightgbm,roc_auc_score,0.48
dc,lightgbm,average_precision_score,0.096
dc,lightgbm,average_precision_score_0.01,0.1
dc,lightgbm,average_precision_score_0.05,0.1
dc,lightgbm,average_precision_score_0.1,0.096
dc,xgboost,roc_auc_score,0.483
dc,xgboost,average_precision_score,0.097
dc,xgboost,average_precision_score_0.01,0.1
dc,xgboost,average_precision_score_0.05,0.1
dc,xgboost,average_precision_score_0.1,0.099
ndc,log_reg,roc_auc_score,0.521
ndc,log_reg,average_precision_score,0.114
ndc,log_reg,average_precision_score_0.01,0.1
ndc,log_reg,average_precision_score_0.05,0.1
ndc,log_reg,average_precision_score_0.1,0.1
ndc,random_forest,roc_auc_score,0.521
