model_name,variable,value
Random Forest,participation,0.012759771093806304
Random Forest,in_mod_deg,0.003978233199643045
Random Forest,beta_star,0.015398378983412286
Random Forest,edge_contr,0.013143217282602149
Random Forest,cada,0.013698233297182482
Random Forest,kl,0.0025905811094970475
Random Forest,l1,0.001326226560354593
Random Forest,l2,0.013642469145400992
Random Forest,hd,0.0011799369643121227
Random Forest,kl2,0.0014614357484432517
Random Forest,l12,0.0007026774622734932
Random Forest,l22,0.0008482052243099613
Random Forest,hd2,0.0005346356491988003
Random Forest,lcc,0.002310639612565879
Random Forest,bc,0.001061100740971832
Random Forest,dc,0.000880761698854704
Random Forest,ndc,0.0002833186195885795
Random Forest,cc,0.0005171953359413451
Random Forest,ec,0.00035008532724096765
Random Forest,eccen,0.00014495835606441742
Random Forest,core,0.0003350618741158939
Random Forest,emb_node2vec_0,8.515617351565475e-05
Random Forest,emb_node2vec_1,0.0021902168978129135
Random Forest,emb_node2vec_2,2.2602726323250887e-05
Random Forest,emb_node2vec_3,0.00032463462605981653
Random Forest,emb_node2vec_4,1.637391727691284e-05
Random Forest,emb_node2vec_5,9.766551016839874e-05
Random Forest,emb_node2vec_6,-5.395705941001472e-05
Random Forest,emb_node2vec_7,0.0007171109617692406
Random Forest,emb_node2vec_8,-5.4308128694169344e-05
Random Forest,emb_node2vec_9,-0.00012128424630767354
Random Forest,emb_node2vec_10,0.00012425568455567415
Random Forest,emb_node2vec_11,0.0002830861594773082
Random Forest,emb_node2vec_12,2.5092195863574142e-05
Random Forest,emb_node2vec_13,-0.0001470761763474937
Random Forest,emb_node2vec_14,-7.25160190541696e-05
Random Forest,emb_node2vec_15,0.00030672912187804655
Random Forest,emb_struc2vec_1,-6.546737302798311e-05
Random Forest,emb_struc2vec_2,0.00017027496060948444
Random Forest,emb_struc2vec_3,7.07502097905377e-05
Random Forest,emb_struc2vec_4,0.0001409769548827433
Random Forest,emb_struc2vec_5,0.0002967772746252373
Random Forest,emb_struc2vec_6,0.0003049336339572384
Random Forest,emb_struc2vec_7,0.00018047179828449832
Random Forest,emb_struc2vec_8,0.00033883914326613416
Random Forest,emb_struc2vec_9,0.00016009594478063604
Random Forest,emb_struc2vec_10,-0.00010665288008248064
Random Forest,emb_struc2vec_11,0.0004835896612640833
Random Forest,emb_struc2vec_12,-0.00010955577396830618
Random Forest,emb_struc2vec_13,8.757804451384744e-05
Random Forest,emb_struc2vec_14,0.0003350483690189421
Random Forest,emb_struc2vec_15,-0.00010647596096236
Random Forest,emb_struc2vec_16,0.0001889545957165617
